,atletas.nome,atletas.apelido_abreviado,atletas.variacao_num,atletas.apelido,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.media_num,atletas.pontos_num,atletas.rodada_id,atletas.posicao_id,atletas.status_id,atletas.clube_id,atletas.jogos_num,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.foto,atletas.preco_num,atletas.slug,DE,GS,SG,CA,DP,PC,DS,FC,FD,FF,FS,G,I,FT,A,CV,PP,PS,V,GC
54,Lucas Rodrigues Moura da Silva,L. Moura,-2.43,Lucas Moura,São Paulo,True,7.1,0.8,10,4,7,276,4,70164,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,16.27,lucas-moura,,,,1.0,,,6.0,5.0,3.0,2.0,5.0,2.0,,,,,,,,
55,Rafael Pereira da Silva,Rafael,0.0,Rafael,Botafogo,False,0.0,0.0,10,2,5,263,0,70171,,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,3.0,rafael,,,,,,,,,,,,,,,,,,,,
56,Fábio Pereira da Silva,Fábio,0.0,Fábio,Grêmio,False,3.7,0.0,10,2,6,284,6,70172,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,6.1,fabio,,,2.0,1.0,,1.0,5.0,3.0,,2.0,9.0,,,1.0,,,,,,
57,Luiz Gustavo de Almeida Pinto,Gustavo,0.0,Gustavo,Criciúma,False,3.42,0.0,10,1,6,288,4,70216,,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,5.64,gustavo,12.0,6.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,
58,Bruno Uvini Bortolança,B. Uvini,0.0,Bruno Uvini,Vitória,False,0.67,0.0,10,3,6,287,4,70221,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,2.87,bruno-uvini,,,,1.0,,,2.0,1.0,,2.0,,,,,,,,,,
59,Diego da Silva Costa,D. Costa,0.0,Diego Costa,Grêmio,False,1.0,0.0,10,5,5,284,2,70316,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,6.25,diego-costa,,,,,,,2.0,,1.0,,3.0,,1.0,,,1.0,,,,
60,Agustín Federico Marchesín,Marchesín,-0.68,Marchesín,Grêmio,True,3.25,1.0,10,1,7,284,4,70332,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,5.98,marchesin,7.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,
61,Eduardo Colcenti Antunes,E. Sasha,1.21,Eduardo Sasha,Bragantino,True,4.33,6.3,10,5,7,280,7,70360,,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,9.04,eduardo-sasha,,,,1.0,,,3.0,5.0,4.0,3.0,8.0,2.0,,,1.0,1.0,,,,
62,Gabriel Vasconcelos Ferreira,Gabriel,1.37,Gabriel,Juventude,True,2.13,7.0,10,1,7,286,8,70449,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,4.37,gabriel,19.0,11.0,2.0,2.0,,,,,,,2.0,,,,,,,,,
63,Marllon Gonçalves Jerônimo Borges,Marllon,0.79,Marllon,Cuiabá,True,1.92,5.2,10,3,6,1371,7,70666,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,3.95,marllon,,,1.0,2.0,,1.0,8.0,4.0,1.0,1.0,2.0,,,,,,,,,
64,Enner Remberto Valencia Lastra,E. Valencia,0.0,Enner Valencia,Internacional,False,0.5,0.0,10,5,6,285,1,70788,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,15.47,enner-valencia,,,,,,,,,,,1.0,,,,,,,,,
65,Diogo Barbosa Mendanha,D. Barbosa,-0.02,Diogo Barbosa,Fluminense,True,0.52,1.6,10,2,6,266,5,70916,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,3.01,diogo-barbosa,,,,2.0,,,4.0,4.0,,,2.0,,,,,,,,,
