,atletas.atleta_id,atletas.foto,atletas.pontos_num,atletas.clube_id,atletas.clube.id.full.name,atletas.slug,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.nome,atletas.preco_num,atletas.status_id,atletas.entrou_em_campo,atletas.apelido,atletas.rodada_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,CV,SG,PC,PS,GC,DE,GS,V,DP
36,68928,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,3.5,276,São Paulo,rafael,,22,Rafael Pires Monteiro,6.69,7,True,Rafael,34,0.26,Rafael,3.37,1,,1.0,,,,,2.0,,,,,,8.0,,,,55.0,21.0,,
37,68940,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,0.0,284,Grêmio,rafael-cabral,,6,Rafael Cabral Barbosa,5.34,6,False,Rafael Cabral,34,0.0,R. Cabral,2.08,1,,,,,,,1.0,,,,,,1.0,,,,15.0,8.0,,
38,68952,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,0.0,356,Fortaleza,marinho,,17,Mário Sérgio Santos Costa,7.47,7,False,Marinho,34,0.0,Marinho,4.94,5,1.0,3.0,22.0,23.0,9.0,15.0,39.0,,3.0,8.0,,1.0,,,,,,,,
39,68954,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,0.0,288,Criciúma,marquinhos-gabriel,,21,Marcos Gabriel do Nascimento,2.73,6,False,Marquinhos Gabriel,34,0.0,M. Gabriel,0.98,4,,3.0,9.0,7.0,4.0,6.0,11.0,,,3.0,,,,,,,,,,
40,68991,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,0.0,356,Fortaleza,lucas-sasha,,18,Lucas Pacheco Affini,6.5,6,False,Lucas Sasha,34,0.0,L. Sasha,3.57,4,,2.0,53.0,33.0,2.0,1.0,19.0,,,,,,,,,,,,,
41,69012,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,0.0,356,Fortaleza,santos,,0,Aderbar Melo dos Santos Neto,8.0,6,False,Santos,34,0.0,Santos,0.0,1,,,,,,,,,,,,,,,,,,,,
42,69014,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,0.0,266,Fluminense,manoel,,10,Manoel Messias Silva Carvalho,3.51,6,False,Manoel,34,0.0,Manoel,1.55,3,,2.0,6.0,8.0,1.0,,3.0,,,,,,2.0,,,,,,,
43,69041,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,0.0,287,Vitória,muriel,,1,Muriel Gustavo Becker,5.94,6,False,Muriel,34,0.0,Muriel,6.5,1,,2.0,,,,,1.0,,,,,,1.0,,,,1.0,,,
44,69051,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,0.0,265,Bahia,danilo-fernandes,,0,Danilo Fernandes Batista,3.54,6,False,Danilo Fernandes,34,0.0,D. Fernandes,-1.0,1,,1.0,,,,,,,,,,,,,,,,,,
45,69102,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,0.0,282,Atlético-MG,vargas,,19,Eduardo Jesús Vargas Rojas,6.17,6,False,Vargas,34,0.0,Vargas,4.81,5,1.0,1.0,8.0,7.0,5.0,7.0,20.0,,7.0,6.0,,,,,3.0,,,,,
