,atletas.clube.id.full.name,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.status_id,atletas.apelido,atletas.entrou_em_campo,atletas.foto,atletas.apelido_abreviado,atletas.variacao_num,atletas.media_num,atletas.atleta_id,atletas.slug,atletas.nome,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.jogos_num,atletas.pontos_num,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PC,SG,DE,GS,V,PS,GC,PP,DP
65,Juventude,4,,2,Jean Carlos,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,J. Carlos,0.0,3.3,70958,jean-carlos,Jean Carlos Vicente,286,6.92,31,16,0.0,1.0,3.0,,7.0,13.0,4.0,9.0,5.0,,4.0,1.0,,,,,,,,,
66,Vasco,4,,6,Payet,True,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,Payet,2.41,4.05,70984,payet,Florent Dimitri Payet,267,8.13,31,16,16.0,3.0,1.0,,10.0,8.0,2.0,5.0,16.0,1.0,3.0,2.0,,,,,,,,,
67,Atlético-GO,3,,6,Pedro Henrique,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,P. Henrique,0.0,3.02,71038,pedro-henrique,Pedro Henrique Pereira da Silva,373,4.73,31,9,0.0,,3.0,,11.0,8.0,2.0,,4.0,,,,,3.0,,,,,,,
68,Vasco,3,,6,Maicon,True,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,Maicon,1.2,2.67,71227,maicon,Maicon Pereira Roque,267,5.14,31,27,8.3,,5.0,,31.0,12.0,1.0,1.0,7.0,,1.0,1.0,,6.0,,,,,,,
69,São Paulo,4,,7,Luiz Gustavo,True,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,L. Gustavo,0.58,2.46,71536,luiz-gustavo,Luiz Gustavo Dias,276,5.03,31,22,4.6,,3.0,,29.0,29.0,9.0,10.0,19.0,1.0,,,,,,,,,,,
70,Palmeiras,1,,7,Weverton,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,Weverton,-0.18,5.23,71631,weverton,Weverton Pereira da Silva,275,9.87,31,30,-0.5,1.0,2.0,,1.0,,,,8.0,,,,,14.0,102.0,23.0,,,,,
71,Vitória,2,,7,Raúl Cáceres,True,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,R. Cáceres,-0.89,3.51,71680,raul-caceres,Raúl Alejandro Cáceres Bogado,287,5.18,31,16,-0.8,1.0,1.0,,25.0,18.0,,1.0,4.0,,,2.0,,5.0,,,,,,,
72,Palmeiras,3,,7,Gustavo Gómez,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,G. Gómez,0.22,4.15,71684,gustavo-gomez,Gustavo Raúl Gómez Portillo,275,8.58,31,21,2.8,2.0,7.0,,22.0,34.0,1.0,12.0,18.0,,1.0,7.0,1.0,9.0,,,,,1.0,,
73,Bahia,2,,6,Santiago Arias,True,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,S. Arias,0.7,4.09,71701,santiago-arias,Santiago Arias Naranjo,265,6.79,31,18,7.7,1.0,2.0,1.0,26.0,21.0,2.0,5.0,18.0,,,4.0,1.0,7.0,,,,,,,
74,Fluminense,4,,6,Gabriel Pires,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,G. Pires,0.0,3.48,71898,gabriel-pires,Gabriel Appelt Pires,266,5.14,31,5,0.0,,1.0,,13.0,8.0,1.0,2.0,5.0,,,1.0,,,,,,,,,
