,atletas.pontos_num,atletas.status_id,atletas.apelido_abreviado,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.nome,atletas.slug,atletas.foto,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.clube_id,atletas.rodada_id,atletas.posicao_id,atletas.apelido,atletas.jogos_num,atletas.atleta_id,CA,DE,DS,FS,GS,SG,FC,FD,FF,A,CV,FT,G,I,PC,V,PP,PS,DP,GC
10,10.3,7,Hulk,15.45,0.41,8.26,Givanildo Vieira de Souza,hulk,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,True,Atlético-MG,,282,28,5,Hulk,17,39148,2.0,,4.0,50.0,,,18.0,8.0,24.0,3.0,1.0,2.0,9.0,7.0,,,,,,
11,-0.3,7,A. Franco,2.92,-0.08,1.27,Alan Steven Franco Palma,alan-franco,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,True,Atlético-MG,,282,28,4,Alan Franco,18,39656,4.0,,18.0,12.0,,,27.0,1.0,4.0,,,1.0,,,,,,,,
12,4.74,7,R. Gaúcho,8.46,-0.12,4.62,Renato Portaluppi,renato-gaucho,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,True,Grêmio,,284,28,6,Renato Gaúcho,26,41929,,,,,,,,,,,,,,,,9.0,,,,
13,0.0,5,Osvaldo,4.77,0.0,2.61,Osvaldo Lourenço Filho,osvaldo,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,False,Vitória,,287,28,5,Osvaldo,18,42222,1.0,,8.0,23.0,,,12.0,9.0,6.0,,,,2.0,1.0,1.0,,,,,
14,2.0,7,Cássio,10.01,-0.84,4.9,Cássio Roberto Ramos,cassio,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,True,Cruzeiro,,283,28,1,Cássio,14,42234,2.0,57.0,,3.0,13.0,5.0,,,,,,,,,,,,,,
15,-4.3,3,Fagner,5.77,-2.16,3.73,Fagner Conserva Lemos,fagner,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,True,Corinthians,,264,28,2,Fagner,13,42500,1.0,,13.0,9.0,,5.0,3.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,
16,0.0,6,A. Kardec,2.25,-0.14,0.32,Alan Kardec de Sousa Pereira Júnior,alan-kardec,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,True,Atlético-MG,,282,28,5,Alan Kardec,10,50347,,,,3.0,,,2.0,,3.0,,,,,,,,,,,
17,0.0,6,Titi,4.21,0.0,2.42,Christian Chagas Tarouco,titi,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,False,Fortaleza,,356,28,3,Titi,13,50353,5.0,,18.0,10.0,,3.0,22.0,,2.0,,,,,1.0,,,,,,
18,5.0,7,Walter,5.33,-0.1,3.16,Walter Leandro Capeloza Artune,walter,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,True,Cuiabá,,1371,28,1,Walter,23,51413,1.0,89.0,,1.0,36.0,4.0,,,,,,,,,,,,,,
19,5.1,3,E. Ribeiro,8.67,0.39,4.3,Everton Augusto de Barros Ribeiro,everton-ribeiro,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,True,Bahia,,265,28,4,Everton Ribeiro,26,51772,2.0,,42.0,48.0,,,26.0,5.0,7.0,4.0,,,2.0,1.0,,,,,,
20,3.7,3,Fernando,5.53,0.38,2.32,Fernando Francisco Reges,fernando,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,True,Internacional,,285,28,4,Fernando,14,52271,4.0,,22.0,5.0,,,13.0,,1.0,,,1.0,1.0,2.0,,,,,,
21,3.6,6,D. Luiz,5.91,0.28,2.44,David Luiz Moreira Marinho,david-luiz,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,True,Flamengo,,262,28,3,David Luiz,18,52827,4.0,,7.0,7.0,,3.0,18.0,3.0,6.0,,,1.0,2.0,,1.0,,,,,
22,0.0,6,A. Teixeira,4.69,0.0,0.5,Alex Teixeira Santos,alex-teixeira,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,False,Vasco,,267,28,4,Alex Teixeira,1,60793,,,,1.0,,,,,,,,,,,,,,,,
23,0.0,6,Souza,5.08,0.0,0.43,Josef de Souza Dias,souza,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,False,Vasco,,267,28,4,Souza,3,60803,1.0,,2.0,1.0,,,2.0,,,,,,,,,,,,,
24,0.0,6,Cicinho,4.17,0.0,1.57,Neuciano de Jesus Gusmão,cicinho,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,False,Bahia,,265,28,2,Cicinho,4,61106,,,1.0,2.0,,1.0,3.0,,,,,,,,,,,,,
25,0.0,7,Gilberto,3.53,-0.2,1.85,Gilberto Oliveira Souza Júnior,gilberto,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,True,Juventude,,286,28,5,Gilberto,16,61188,2.0,,6.0,9.0,,,13.0,5.0,9.0,,,1.0,1.0,4.0,,,,,,
