,atletas.atleta_id,atletas.clube.id.full.name,atletas.foto,atletas.variacao_num,atletas.apelido,atletas.apelido_abreviado,atletas.media_num,atletas.jogos_num,atletas.entrou_em_campo,atletas.clube_id,atletas.nome,atletas.rodada_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.status_id,atletas.posicao_id,atletas.slug,atletas.pontos_num,DE,GS,A,CA,DS,FC,FD,FF,FS,G,I,SG,DP,PC,FT,PP,PS,CV,V,GC
29,62977,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,-1.36,Ganso,Ganso,3.72,5,True,266,Paulo Henrique Chagas de Lima,7,7.37,,7,4,ganso,-1.3,,,2.0,3.0,2.0,6.0,,,6.0,1.0,,,,,,,,,,
30,63013,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,-0.72,Marcos Rocha,M. Rocha,3.58,5,True,275,Marcos Luis Rocha Aquino,7,6.59,,7,2,marcos-rocha,2.1,,,,,3.0,4.0,,,1.0,,,3.0,,,,,,,,
31,63110,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,0.01,Alan Ruschel,A. Ruschel,0.85,2,True,286,Alan Luciano Ruschel,7,3.54,,7,2,alan-ruschel,1.0,,,,,1.0,5.0,,,4.0,,,,,,,,,,,
32,63289,Grêmio,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,-0.03,Edenílson,Edenílson,0.7,2,True,284,Edenílson Andrade dos Santos,7,5.72,,6,4,edenilson,1.4,,,,,,2.0,,,4.0,,,,,,,,,,,
33,68685,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,-2.24,Alan Patrick,A. Patrick,-1.6,1,True,285,Alan Patrick Lourenço,7,13.76,,7,4,alan-patrick,-1.6,,,,1.0,,2.0,,,,,,,,,,,,,,
34,68708,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,0.0,Eduardo,Eduardo,-0.1,2,False,263,Carlos Eduardo de Oliveira Alves,7,7.46,,6,4,eduardo,0.0,,,,,,2.0,,,1.0,,1.0,,,,,,,,,
35,68872,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,0.0,Marcelo Lomba,M. Lomba,0.0,0,False,275,Marcelo Lomba do Nascimento,7,6.0,,6,1,marcelo-lomba,0.0,,,,,,,,,,,,,,,,,,,,
36,68920,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,0.0,Dudu,Dudu,0.0,0,False,275,Eduardo Pereira Rodrigues,7,10.0,,2,5,dudu,0.0,,,,,,,,,,,,,,,,,,,,
37,68928,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,1.18,Rafael,Rafael,3.0,7,True,276,Rafael Pires Monteiro,7,7.52,,6,1,rafael,8.0,12.0,6.0,,,,,,,,,,3.0,,,,,,,,
38,68940,Grêmio,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,-0.58,Rafael Cabral,R. Cabral,1.0,2,True,284,Rafael Cabral Barbosa,7,6.69,,6,1,rafael-cabral,0.0,5.0,3.0,,,,,,,,,,,,,,,,,,
39,68952,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,0.0,Marinho,Marinho,1.84,5,False,356,Mário Sérgio Santos Costa,7,4.49,,5,5,marinho,0.0,,,,1.0,3.0,5.0,1.0,6.0,5.0,,4.0,,,,,,,,,
40,68954,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,0.55,Marquinhos Gabriel,M. Gabriel,2.17,4,True,288,Marcos Gabriel do Nascimento,7,4.72,,7,4,marquinhos-gabriel,4.2,,,,1.0,4.0,2.0,2.0,2.0,3.0,,,,,,,,,,,
41,68991,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,0.0,Lucas Sasha,L. Sasha,2.1,3,False,356,Lucas Pacheco Affini,7,5.12,,5,4,lucas-sasha,0.0,,,,,6.0,3.0,,,,,,,,,,,,,,
42,69012,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,0.0,Santos,Santos,0.0,0,False,356,Aderbar Melo dos Santos Neto,7,8.0,,6,1,santos,0.0,,,,,,,,,,,,,,,,,,,,
43,69014,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,0.0,Manoel,Manoel,0.52,4,False,266,Manoel Messias Silva Carvalho,7,3.6,,6,3,manoel,0.0,,,,1.0,2.0,5.0,1.0,,2.0,,,,,,,,,,,
44,69041,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,0.0,Muriel,Muriel,0.0,0,False,287,Muriel Gustavo Becker,7,4.0,,6,1,muriel,0.0,,,,,,,,,,,,,,,,,,,,
45,69051,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,0.0,Danilo Fernandes,D. Fernandes,0.0,0,False,265,Danilo Fernandes Batista,7,4.0,,6,1,danilo-fernandes,0.0,,,,,,,,,,,,,,,,,,,,
46,69063,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,0.0,James Rodríguez,J. Rodríguez,-0.05,2,False,276,James David Rodríguez Rubio,7,4.84,,6,4,james-rodriguez,0.0,,,,,,,,,,,1.0,,,,,,,,,
47,69102,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,-1.98,Vargas,Vargas,5.42,6,True,282,Eduardo Jesús Vargas Rojas,7,5.65,,6,5,vargas,0.4,,,,,2.0,2.0,1.0,4.0,3.0,3.0,2.0,,,,,,1.0,,,
48,69138,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,-1.05,Pablo,Pablo,4.02,6,True,293,Pablo Felipe Teixeira,7,7.17,,7,5,pablo,0.9,,,,1.0,3.0,7.0,1.0,3.0,2.0,2.0,,,,,1.0,,,,,
49,69165,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,0.0,Pablo,Pablo,0.0,1,False,263,Pablo Nascimento Castro,7,3.22,,6,3,pablo,0.0,,,,,,,,,,,,,,,,,,,,
50,69325,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,-0.29,Aránguiz,Aránguiz,1.1,1,True,285,Charles Mariano Aránguiz Sandoval,7,6.71,,6,4,aranguiz,1.1,,,,,,2.0,1.0,,1.0,,,,,,,,,,,
51,69355,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_6uzylAN.png,0.0,Medel,Medel,-0.3,2,False,267,Gary Alexis Medel Soto,7,3.96,,6,3,medel,0.0,,,,,,2.0,,,,,,,,,,,,,,
52,69686,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,0.03,João Pedro Galvão,J. Galvão,1.24,5,True,284,João Pedro Geraldino dos Santos Galvão,7,3.59,,6,5,joao-pedro-galvao,1.4,,,,1.0,2.0,8.0,2.0,1.0,8.0,,,,,,,,,,,
53,69705,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,0.29,Nikão,Nikão,6.2,4,True,293,Maycon Vinícius Ferreira da Cruz,7,9.59,,6,4,nikao,5.4,,,,,7.0,1.0,3.0,4.0,4.0,1.0,1.0,,,,,,,,,
54,70164,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,3.65,Lucas Moura,L. Moura,13.7,1,True,276,Lucas Rodrigues Moura da Silva,7,19.65,,7,4,lucas-moura,13.7,,,,,4.0,3.0,,1.0,2.0,1.0,,,,,,,,,,
55,70171,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,0.0,Rafael,Rafael,0.0,0,False,263,Rafael Pereira da Silva,7,3.0,,5,2,rafael,0.0,,,,,,,,,,,,,,,,,,,,
56,70172,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,0.44,Fábio,Fábio,4.93,4,True,284,Fábio Pereira da Silva,7,7.05,,6,2,fabio,5.3,,,,1.0,5.0,3.0,,2.0,4.0,,,2.0,,1.0,1.0,,,,,
57,70216,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,-0.85,Gustavo,Gustavo,7.5,2,True,288,Luiz Gustavo de Almeida Pinto,7,6.89,,7,1,gustavo,0.0,6.0,2.0,,1.0,,,,,,,,1.0,1.0,,,,,,,
58,70221,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,0.3,Bruno Uvini,B. Uvini,0.67,4,True,287,Bruno Uvini Bortolança,7,2.87,,7,3,bruno-uvini,2.0,,,,1.0,2.0,1.0,,2.0,,,,,,,,,,,,
59,70316,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,0.0,Diego Costa,D. Costa,1.0,2,False,284,Diego da Silva Costa,7,6.25,,7,5,diego-costa,0.0,,,,,2.0,,1.0,,3.0,,1.0,,,,,,,1.0,,
60,70332,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,0.0,Marchesín,Marchesín,4.0,3,False,284,Agustín Federico Marchesín,7,6.66,,7,1,marchesin,0.0,4.0,2.0,,,,,,,,,,2.0,,,,,,,,
61,70360,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,0.0,Eduardo Sasha,E. Sasha,5.3,5,False,280,Eduardo Colcenti Antunes,7,9.1,,5,5,eduardo-sasha,0.0,,,,1.0,3.0,5.0,4.0,2.0,6.0,2.0,,,,,,,,,,
62,70449,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,-0.21,Gabriel,Gabriel,1.8,5,True,286,Gabriel Vasconcelos Ferreira,7,3.6,,7,1,gabriel,2.0,13.0,8.0,,2.0,,,,,2.0,,,1.0,,,,,,,,
63,70666,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,-0.64,Marllon,Marllon,1.42,5,True,1371,Marllon Gonçalves Jerônimo Borges,7,3.1,,7,3,marllon,0.0,,,,1.0,6.0,1.0,1.0,,2.0,,,,,1.0,,,,,,
64,70788,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,-1.53,Enner Valencia,E. Valencia,0.5,1,True,285,Enner Remberto Valencia Lastra,7,15.47,,6,5,enner-valencia,0.5,,,,,,,,,1.0,,,,,,,,,,,
