,atletas.atleta_id,atletas.apelido,atletas.variacao_num,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.pontos_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.status_id,atletas.preco_num,atletas.nome,atletas.media_num,atletas.foto,atletas.posicao_id,atletas.clube_id,atletas.slug,CA,DS,FC,FF,FS,FT,I,A,FD,G,PP,SG,CV,PC,PS,GC,V,DE,GS,DP
26,61987,Alex Sandro,0.89,7,,True,Flamengo,12.2,36,A. Sandro,7,8.82,Alex Sandro Lobo Silva,4.76,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_fiP7yWy.png,2,262,alex-sandro,1.0,10.0,13.0,2.0,5.0,,3.0,1.0,2.0,,,3.0,,,,,,,,
27,62977,Ganso,0.22,28,,True,Fluminense,3.6,36,Ganso,3,6.93,Paulo Henrique Chagas de Lima,3.15,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,4,266,ganso,10.0,24.0,18.0,7.0,31.0,,2.0,6.0,6.0,3.0,1.0,,1.0,,,,,,,
28,63013,Marcos Rocha,0.0,25,,False,Palmeiras,0.0,36,M. Rocha,3,8.33,Marcos Luis Rocha Aquino,4.77,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,2,275,marcos-rocha,5.0,40.0,25.0,2.0,12.0,,2.0,2.0,1.0,,,13.0,,,,,,,,
29,63110,Alan Ruschel,0.0,23,,False,Juventude,0.0,36,A. Ruschel,6,5.55,Alan Luciano Ruschel,3.59,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,2,286,alan-ruschel,3.0,45.0,22.0,4.0,30.0,,,1.0,,1.0,,2.0,1.0,,,,,,,
30,63289,Edenílson,-0.09,25,,True,Grêmio,0.9,36,Edenílson,6,4.08,Edenílson Andrade dos Santos,1.77,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,4,284,edenilson,3.0,15.0,19.0,3.0,23.0,1.0,3.0,1.0,5.0,1.0,,,,,,,,,,
31,68685,Alan Patrick,-0.73,19,,True,Internacional,3.6,36,A. Patrick,7,10.51,Alan Patrick Lourenço,5.57,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,4,285,alan-patrick,3.0,16.0,18.0,9.0,28.0,,,2.0,10.0,7.0,1.0,,,,,,,,,
32,68708,Eduardo,0.0,15,,False,Botafogo,0.0,36,Eduardo,6,6.1,Carlos Eduardo de Oliveira Alves,2.34,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,4,263,eduardo,1.0,8.0,12.0,6.0,10.0,,1.0,1.0,3.0,2.0,1.0,,,,,,,,,
33,68872,Marcelo Lomba,0.0,1,,False,Palmeiras,0.0,36,M. Lomba,6,4.99,Marcelo Lomba do Nascimento,-1.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,1,275,marcelo-lomba,,,,,,,,,,,,,,,,,,1.0,2.0,
34,68899,Philippe Coutinho,0.08,12,,True,Vasco,1.9,36,P. Coutinho,7,5.48,Philippe Coutinho Correia,2.05,https://s.sde.globo.com/media/person_role/2024/07/10/photo_FORMATO.png,4,267,philippe-coutinho,,5.0,6.0,4.0,9.0,,,,4.0,1.0,,,,,,,,,,
35,68920,Dudu,0.0,15,,False,Palmeiras,0.0,36,Dudu,6,5.36,Eduardo Pereira Rodrigues,1.54,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,5,275,dudu,,5.0,4.0,3.0,18.0,,1.0,,5.0,,,,,,1.0,,,,,
