,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,CA,DS,FC,FD,FF,FS,G,DE,GS,SG,I,A,V,PC,FT,PS,CV,PP
175,Thaciano,Bahia,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_wgwd4Ze.png,thaciano,2,Thaciano,3,265,4.9,7,3.35,,6.8,0.41,4,87470,True,Thaciano Mickael da Silva,,1.0,2.0,1.0,2.0,1.0,,,,,2.0,,,,1.0,,,
176,Mateus Pasinato,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_5YNRqaD.png,mateus-pasinato,0,M. Pasinato,3,1371,0.0,6,0.0,,3.0,0.0,1,87603,False,Mateus Pasinato,,,,,,,,,,,,,,,,,,
177,Galdames,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8l71w1x.png,galdames,3,Galdames,3,267,1.2,6,2.03,,5.23,-0.53,4,87660,True,Pablo Ignacio Galdames Millán,1.0,7.0,10.0,,1.0,2.0,,,,,1.0,,,,,,,
178,Yago Felipe,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_wf2lvdn.png,yago-felipe,0,Y. Felipe,3,265,0.0,6,0.0,,4.0,0.0,4,87747,False,Yago Felipe da Costa Rocha,,,,,,,,,,,,,,,,,,
179,Mauricio Lemos,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,mauricio-lemos,3,M. Lemos,3,282,3.4,7,4.3,,12.08,-1.13,3,87853,True,Paolo Mauricio Lemos Merladett,1.0,3.0,6.0,,2.0,1.0,,,,2.0,,,,,,,,
180,Arrascaeta,Flamengo,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_ehYT9k1.png,arrascaeta,2,Arrascaeta,3,262,3.7,7,1.6,,13.02,-1.6,4,87863,True,Giorgian Daniel de Arrascaeta Benedetti,1.0,,2.0,1.0,2.0,4.0,,,,,,,,,,,,
181,Gustavo Scarpa,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_UXqyPlk.png,gustavo-scarpa,3,G. Scarpa,3,282,11.0,2,8.4,,13.61,0.86,4,87999,True,Gustavo Henrique Furtado Scarpa,,,,3.0,2.0,4.0,1.0,,,,,2.0,,,,,,
182,Alan Empereur,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_yJZY7yN.png,alan-empereur,2,A. Empereur,3,1371,1.0,2,0.1,,2.65,-0.36,3,88033,True,Alan Pereira Empereur,1.0,,1.0,,,3.0,,,,,,,,,,,,
183,Ivan,Internacional,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TR1I7LU.png,ivan,0,Ivan,3,285,0.0,5,0.0,,3.0,0.0,1,88136,False,Ivan Quaresma da Silva,,,,,,,,,,,,,,,,,,
184,Ángel Romero,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_1ruJswV.png,angel-romero,3,Ã. Romero,3,264,2.8,2,2.07,,6.11,-0.22,5,88323,True,Ángel Rodrigo Romero Villamayor,1.0,2.0,,,3.0,5.0,,,,,1.0,,,,,,,
185,Ayrton Lucas,Flamengo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_vtzXktM.png,ayrton-lucas,3,A. Lucas,3,262,9.1,7,5.07,,7.98,1.14,2,88393,True,Ayrton Lucas Dantas de Medeiros,,4.0,3.0,,1.0,5.0,,,,1.0,,,,,1.0,,,
186,Barreto,Criciúma,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ppF3oM9.png,barreto,2,Barreto,3,288,0.0,7,1.7,,3.41,0.0,4,89224,False,Gustavo Bonatto Barreto,,3.0,4.0,,,2.0,,,,,,,,,,,,
187,Gerson,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_mBAg0JY.png,gerson,3,Gerson,3,262,0.5,6,1.33,,5.19,-0.71,4,89256,True,Gerson Santos da Silva,,3.0,2.0,,,2.0,,,,,,,,,,,,
188,João Pedro,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_yq877xk.png,joao-pedro,2,J. Pedro,3,284,5.8,7,3.4,,6.01,0.72,2,89273,True,João Pedro Maturano dos Santos,,,1.0,,2.0,1.0,,,,1.0,,,,,,,,
189,William,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_Wno5RKV.png,william,3,William,3,283,0.8,7,4.8,,9.08,-1.28,2,89275,True,Willian de Asevedo Furtado,,5.0,,,3.0,2.0,,,,,,1.0,,,,,,
190,Erick,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_GS948NH.png,erick,3,Erick,3,286,1.1,7,1.03,,3.08,-0.19,5,89467,True,Erick Samuel Correa Farias,,1.0,1.0,1.0,1.0,1.0,,,,,3.0,,,,,,,
191,Igor Rabello,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,igor-rabello,3,I. Rabello,3,282,5.0,6,4.6,,7.27,0.16,3,89493,True,Igor Rabello da Costa,,3.0,1.0,,,1.0,,,,2.0,,,,,,,,
192,Thiago Maia,Internacional,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_CBUMmTU.png,thiago-maia,3,T. Maia,3,285,-0.3,7,0.6,,4.14,-0.78,4,89637,True,Thiago Maia Alencar,,1.0,2.0,1.0,,,,,,,,,,,,,,
193,Rodrigo Andrade,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_j4J1Kog.png,rodrigo-andrade,2,R. Andrade,3,287,4.0,6,2.85,,3.8,0.73,4,89646,True,José Rodrigo Andrade Ramos,,4.0,2.0,,,3.0,,,,,,,,,,,,
194,Iury Castilho,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_5wPuqrz.png,iury-castilho,2,I. Castilho,3,287,1.4,5,0.8,,3.17,-0.19,5,89695,True,Iury Lirio Freitas de Castilho,,,2.0,,1.0,3.0,,,,,1.0,,,,,,,
195,Calleri,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hF89kWc.png,calleri,3,Calleri,3,276,7.0,7,4.07,,12.26,-0.12,5,89840,True,Jonathan Calleri,,2.0,3.0,,2.0,3.0,1.0,,,,4.0,,,,,,,
196,Cristaldo,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4i2PnOy.png,cristaldo,3,Cristaldo,3,284,9.2,7,7.0,,11.46,0.7,4,89846,True,Franco Cristaldo,,3.0,1.0,,1.0,2.0,2.0,,,,1.0,,,,,,,
197,Dodi,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_SoQQafa.png,dodi,2,Dodi,3,284,-0.3,2,1.8,,4.22,-0.26,4,89883,True,Douglas Moreira Fagundes,,2.0,1.0,,,3.0,,,,,,,,,,,,
198,Everton Galdino,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ywqLzxA.png,everton-galdino,2,E. Galdino,3,284,-0.8,6,0.55,,3.26,-0.54,5,89918,True,Everton Galdino Moreira,1.0,1.0,3.0,,1.0,2.0,,,,,,,,,,,,
199,Bruno Pacheco,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xopRGnx.png,bruno-pacheco,2,B. Pacheco,3,356,0.0,7,2.5,,8.47,0.0,2,90061,False,Bruno de Jesus Pacheco,,3.0,3.0,,1.0,3.0,,,,,,,,,,,,
200,Bruno Henrique,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JiNgXjg.png,bruno-henrique,3,B. Henrique,3,262,4.4,7,2.73,,7.69,-0.05,5,90285,True,Bruno Henrique Pinto,1.0,3.0,6.0,1.0,1.0,9.0,,,,,1.0,,,,,1.0,,
201,Pedro Rocha,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Mch7ZGz.png,pedro-rocha,0,P. Rocha,3,356,0.0,6,0.0,,5.0,0.0,5,90302,False,Pedro Rocha Neves,,,,,,,,,,,,,,,,,,
202,Lincoln,Bragantino,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3jS17Nq.png,lincoln,0,Lincoln,3,280,0.0,7,0.0,,7.0,0.0,4,90303,False,Lincoln Henrique Oliveira dos Santos,,,,,,,,,,,,,,,,,,
203,David,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_4eK3iOa.png,david,3,David,3,267,4.2,7,6.87,,9.3,-0.35,5,90309,True,David Correa da Fonseca,,4.0,1.0,,2.0,3.0,1.0,,,,,1.0,,,,,,
204,Rezende,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0kSZPcN.png,rezende,2,Rezende,3,265,-0.3,6,3.35,,5.59,-0.17,4,90449,True,Júlio César de Rezende Miranda,,5.0,1.0,,,2.0,,,,,,,,,,,,
205,Caíque,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RJHB8O8.png,caique,3,Caíque,3,286,2.8,7,2.6,,3.97,0.1,4,90588,True,Caique de Jesus Gonçalves,2.0,6.0,4.0,,1.0,6.0,,,,,,,,,,,,
206,Mateus Claus,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ahQNt5A.png,mateus-claus,0,M. Claus,3,286,0.0,6,0.0,,3.0,0.0,1,90590,False,Mateus Eduardo Claus,,,,,,,,,,,,,,,,,,
207,Lucas Mineiro,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_xH8ilrc.png,lucas-mineiro,2,L. Mineiro,3,1371,0.0,6,0.1,,2.13,-0.41,4,90634,True,Lucas da Silva Izidoro,,,1.0,,,1.0,,,,,,,,,,,,
208,Matheuzinho,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_oRcCuAx.png,matheuzinho,2,Matheuzinho,3,287,15.9,7,9.95,,8.52,3.82,4,90703,True,Matheus Martins Fogaça de Paulo,1.0,2.0,6.0,2.0,3.0,5.0,1.0,,,,,1.0,,,,,,
209,Luiz Fernando,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_TFNlZWH.png,luiz-fernando,3,L. Fernando,3,373,2.4,7,4.97,,8.04,-0.7,5,90715,True,Luiz Fernando Moraes dos Santos,1.0,3.0,3.0,,1.0,9.0,1.0,,,,1.0,,,,,,,
210,Fabrício Bruno,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_lglDAms.png,fabricio-bruno,3,F. Bruno,3,262,6.2,7,1.93,,5.2,0.83,3,90768,True,Fabrício Bruno Soares de Faria,2.0,1.0,2.0,1.0,,2.0,,,,1.0,,,,,,,,
211,Zé Marcos,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_s0j6JVw.png,ze-marcos,2,Z. Marcos,3,286,0.0,7,2.75,,2.69,0.0,3,90943,False,José Marcos Alves Luis,1.0,,1.0,,1.0,2.0,,,,1.0,,,,,,,,
212,Cardona,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YucaBOt.png,cardona,0,Cardona,3,356,0.0,6,0.0,,2.0,0.0,3,90947,False,Tomás Cardona,,,,,,,,,,,,,,,,,,
213,Ronaldo,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_AaiyHtB.png,ronaldo,3,Ronaldo,3,373,2.0,7,1.0,,2.75,0.14,1,91101,True,Ronaldo de Oliveira Strada,,,,,,,,9.0,6.0,,,,,,,,,
214,Everaldo,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ZpwUiXj.png,everaldo,0,Everaldo,3,287,0.0,5,0.0,,5.0,0.0,5,91151,False,Everaldo Silva do Nascimento,,,,,,,,,,,,,,,,,,
215,PK,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lh9cyLQ.png,pk,0,PK,3,287,0.0,6,0.0,,3.0,0.0,2,91190,False,Ítaro Patric Cardoso Calmon,,,,,,,,,,,,,,,,,,
216,Carballo,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_w5Qzw1m.png,carballo,0,Carballo,3,284,0.0,6,0.0,,4.0,0.0,4,91254,False,Felipe Ignacio Carballo Ares,,,,,,,,,,,,,,,,,,
217,Erick Pulgar,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JP7R0QW.png,erick-pulgar,3,E. Pulgar,3,262,-1.6,7,0.17,,3.63,-1.01,4,91473,True,Erick Antonio Pulgar Farfán,1.0,2.0,7.0,1.0,,,,,,,,,,,,,,
218,Rodrigo Sam,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_CwBUWEK.png,rodrigo-sam,3,R. Sam,3,286,0.9,6,1.73,,2.87,-0.16,3,91509,True,Rodrigo Eduardo da Silva,1.0,2.0,4.0,,,,,,,1.0,,,,,,,,
219,Eder,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_8rXUJzI.png,eder,1,Eder,3,288,0.0,6,1.2,,4.53,0.0,5,91521,False,Eder Citadin Martins,,,2.0,,1.0,2.0,,,,,,,,,,,,
220,Arboleda,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_BatY9Y1.png,arboleda,3,Arboleda,3,276,7.1,7,4.13,,7.79,0.64,3,91573,True,Robert Abel Arboleda Escobar,,5.0,5.0,2.0,,1.0,,,,1.0,,,,,,,,
221,Rony,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_j8iPskd.png,rony,3,Rony,3,275,0.8,2,3.4,,7.65,-1.03,5,91607,True,Ronielson da Silva Barbosa,1.0,5.0,5.0,3.0,1.0,5.0,,,,,2.0,,,,,,,
222,Marlon,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_6dy9M0T.png,marlon,3,Marlon,3,283,6.7,7,2.9,,10.3,0.08,2,91706,True,Marlon Rodrigues Xavier,,7.0,4.0,,,3.0,,,,,,,,,,,,
223,David Duarte,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_laPiI8c.png,david-duarte,0,D. Duarte,3,265,0.0,6,0.0,,4.0,0.0,3,91772,False,David de Duarte Macedo,,,,,,,,,,,,,,,,,,
224,Zé Ivaldo,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_XkfvN4h.png,ze-ivaldo,2,Z. Ivaldo,3,283,-0.3,2,-0.2,,3.29,-0.79,3,91866,True,José Ivaldo Almeida Silva,1.0,1.0,2.0,,,,,,,,,,,,,,,
225,Pavón,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_cVczRJH.png,pavon,2,Pavón,3,284,0.0,5,6.1,,8.63,0.0,5,91908,False,Cristian David Pavón,,2.0,,4.0,,,,,,,,1.0,,,,,,
226,Ramón Díaz,Vasco,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO.png,ramon-diaz,3,R. Díaz,3,267,4.31,7,4.42,,7.68,-0.09,6,92075,True,Ramón Ángel Díaz,,,,,,,,,,,,,1.0,,,,,
227,André Luís,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Y6GBzlR.png,andre-luis,2,A. Luís,3,1371,2.2,6,1.45,,3.59,0.05,5,92146,True,Andre Luis da Costa Alfredo,,1.0,1.0,,,4.0,,,,,,,,,,,,
228,Alario,Internacional,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_5Z61ABy.png,alario,1,Alario,3,285,0.0,6,-1.4,,5.26,0.0,5,92149,False,Lucas Nicolás Alario,1.0,,1.0,,,,,,,,1.0,,,,,,,
229,Jair Ventura,Atlético-GO,https://s.sde.globo.com/media/person_role/2018/09/06/d1103130500ec84fd8e37f1a20c60e1a_FORMATO.png,jair-ventura,3,J. Ventura,3,373,0.37,7,1.46,,4.1,-0.55,6,92180,True,Jair Ventura,,,,,,,,,,,,,,,,,,
230,Caíque,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_R17UU3T.png,caique,0,Caíque,3,284,0.0,6,0.0,,4.0,0.0,1,92207,False,Caíque Luiz Santos da Purificação,,,,,,,,,,,,,,,,,,
231,Rodrigo Ely,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RubzI83.png,rodrigo-ely,2,R. Ely,3,284,6.2,7,3.95,,5.05,1.16,3,92237,True,Rodrigo Ely,,1.0,2.0,,1.0,3.0,,,,1.0,,,,,,,,
232,Raul,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_kP2nvPk.png,raul,3,Raul,3,280,-0.9,5,-0.33,,1.42,-0.47,4,92496,True,Raul Lô Gonçalves,,,6.0,,1.0,,,,,,,,,,,,,
233,Renato Kayzer,Fortaleza,https://s.sde.globo.com/media/person_role/2024/04/15/photo_FORMATO.png,renato-kayzer,2,R. Kayzer,3,356,0.0,7,4.75,,6.6,0.0,5,92696,False,Renato Kayzer de Souza,1.0,1.0,1.0,,1.0,2.0,1.0,,,,2.0,,,,,,,
234,Deyverson,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_K9KAkJa.png,deyverson,1,Deyverson,3,1371,0.0,6,4.3,,8.09,0.0,5,92708,False,Deyverson Brum Silva Acosta,,1.0,,1.0,,4.0,,,,,1.0,,,,,,,
235,Bruno Rodrigues,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_lto9czN.png,bruno-rodrigues,0,B. Rodrigues,3,275,0.0,5,0.0,,5.0,0.0,5,92811,False,Bruno Rafael Rodrigues do Nascimento,,,,,,,,,,,,,,,,,,
236,Borré,Internacional,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_kHlqucZ.png,borre,3,Borré,3,285,6.6,7,5.17,,11.73,-0.15,5,92854,True,Rafael Santos Borré Maury,1.0,2.0,7.0,6.0,6.0,1.0,,,,,3.0,1.0,,,1.0,,,1.0
237,Palacios,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_r6zWOHc.png,palacios,0,Palacios,3,283,0.0,6,0.0,,3.0,0.0,2,92855,False,Helibelton Palacios Zapata,,,,,,,,,,,,,,,,,,
238,Mateus Vital,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_lwMqy9Y.png,mateus-vital,3,M. Vital,3,283,1.3,7,3.93,,5.11,-0.35,4,93108,True,Mateus da Silva Vital Assumpção,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,
239,Wanderson,Internacional,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_ntpiKUS.png,wanderson,3,Wanderson,3,285,1.2,5,1.13,,6.13,-0.69,5,93478,True,Wanderson Maciel Sousa Campos,,3.0,4.0,,,2.0,,,,,,,,,,,,
240,Bruno Tubarão,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_3mh3bUg.png,bruno-tubarao,2,B. Tubarão,3,373,1.7,7,2.3,,4.32,0.18,2,93637,True,Bruno Nunes de Barros,1.0,3.0,2.0,,2.0,2.0,,,,,,,,,,,,
241,Gabriel Inocêncio,Juventude,https://s.sde.globo.com/media/person_role/2024/04/10/photo_FORMATO_P3G6ct6.png,gabriel-inocencio,3,G. Inocêncio,3,286,4.8,7,4.03,,4.37,0.7,2,93702,True,Gabriel de Souza Inocêncio,1.0,6.0,8.0,,1.0,5.0,,,,1.0,,,,,,,,
242,Paulo Henrique,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_9IoUUlz.png,paulo-henrique,3,P. Henrique,3,267,0.6,7,2.77,,5.15,-0.63,2,93716,True,Paulo Henrique de Oliveira Alves,,7.0,8.0,,1.0,3.0,,,,,,,,,,,,
243,Marlon Freitas,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_IWdTjkg.png,marlon-freitas,2,M. Freitas,3,263,-0.2,2,-0.1,,3.36,-0.75,4,93790,True,Marlon Rodrigues Freitas,1.0,1.0,3.0,,,1.0,,,,,,,,,,,,
244,Danielzinho,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_DHkocIw.png,danielzinho,0,Danielzinho,3,373,0.0,6,0.0,,4.0,0.0,4,93791,False,Daniel Sampaio Simões,,,,,,,,,,,,,,,,,,
245,Keiller,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8APU3lV.png,keiller,0,Keiller,3,267,0.0,6,0.0,,4.0,0.0,1,93834,False,Keiller da Silva Nunes,,,,,,,,,,,,,,,,,,
246,Cleiton,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_Ri9cYDm.png,cleiton,2,Cleiton,3,280,8.0,7,5.5,,7.42,1.43,1,93882,True,Cleiton Schwengber,,,,,,,,7.0,1.0,1.0,,,,,,,,
247,Matheusinho,Criciúma,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_PCw311H.png,matheusinho,2,Matheusinho,3,288,0.0,6,4.4,,5.03,0.0,4,93886,False,Matheus Leonardo Sales Cardoso,,,,,1.0,,1.0,,,,,,,,,,,
248,Breno Lopes,Fortaleza,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_XhXbbVU.png,breno-lopes,0,B. Lopes,3,356,0.0,6,0.0,,5.0,0.0,5,93988,False,Breno Henrique Vasconcelos Lopes,,,,,,,,,,,,,,,,,,
249,John Victor,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_5TQNQjS.png,john-victor,0,J. Victor,3,263,0.0,7,0.0,,7.0,0.0,1,94044,False,John Victor Maciel Furtado,,,,,,,,,,,,,,,,,,
250,Matheus Fernandes,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_sgQrNPa.png,matheus-fernandes,0,M. Fernandes,3,280,0.0,6,0.0,,5.0,0.0,4,94067,False,Matheus Fernandes Siqueira,,,,,,,,,,,,,,,,,,
251,Felipe Vizeu,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_CKkxA4v.png,felipe-vizeu,0,F. Vizeu,3,288,0.0,6,0.0,,4.0,0.0,5,94138,False,Felipe dos Reis Pereira Vizeu do Carmo,,,,,,,,,,,,,,,,,,
252,Maycon,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_fb3TwT8.png,maycon,2,Maycon,3,264,0.0,5,0.2,,4.65,0.0,4,94154,False,Maycon de Andrade Barberan,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,
253,Raphael Veiga,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XOXiO3C.png,raphael-veiga,3,R. Veiga,3,275,2.9,2,3.3,,14.14,-1.52,4,94509,True,Raphael Cavalcante Veiga,,5.0,1.0,1.0,2.0,3.0,,,,,1.0,,,,,,,
254,Pedro,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_xrhSS2w.png,pedro,3,Pedro,3,262,-0.3,7,5.43,,13.45,-2.24,5,94583,True,Pedro Guilherme Abreu dos Santos,,2.0,3.0,1.0,2.0,8.0,1.0,,,,,,,,,,,
255,Battaglia,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_XVs5pqz.png,battaglia,2,Battaglia,3,282,-0.3,6,-2.1,,2.38,-1.18,4,94845,True,Rodrigo Andrés Battaglia,,,4.0,,,,,,,,,,,,,,1.0,
256,Eduardo Coudet,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_apsV9qH.png,eduardo-coudet,3,E. Coudet,3,285,3.15,7,5.31,,9.58,-0.68,6,94853,True,Eduardo Germán Coudet,,,,,,,,,,,,,2.0,,,,,
257,Lucas Fernandes,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Bzva6ru.png,lucas-fernandes,1,L. Fernandes,3,1371,1.2,6,1.2,,5.25,-0.75,4,94931,True,Lucas Fernandes da Silva,,,,1.0,,,,,,,,,,,,,,
258,Juninho Capixaba,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_U4Lwrth.png,juninho-capixaba,3,J. Capixaba,3,280,10.2,7,5.87,,12.44,0.73,2,94968,True,Luis Antônio da Rocha Júnior,1.0,9.0,5.0,,1.0,7.0,,,,1.0,,,,,,,,
259,Gabriel Taliari,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vGTDrZr.png,gabriel-taliari,0,G. Taliari,3,286,0.0,6,0.0,,3.0,0.0,5,95131,False,Gabriel Pereira Taliari,,,,,,,,,,,,,,,,,,
260,Gregore,Botafogo,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_OoYMXid.png,gregore,2,Gregore,3,263,0.0,6,1.25,,4.49,0.0,4,95464,False,Gregore de Magalhães da Silva,1.0,4.0,6.0,,,1.0,,,,,,,,,,,,
261,Igor Vinícius,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_DKQOGT2.png,igor-vinicius,3,I. Vinícius,3,276,5.5,7,3.43,,4.5,0.74,2,95466,True,Igor Vinícius de Souza,1.0,3.0,2.0,,1.0,5.0,,,,1.0,,,,,,,,
262,Raniele,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_wftQgQv.png,raniele,3,Raniele,3,264,2.3,7,2.2,,6.42,-0.43,4,95556,True,Raniele Almeida Melo,2.0,5.0,3.0,,,7.0,,,,,,,,,,,,
263,Lucas Kal,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_Ho8rTXl.png,lucas-kal,1,L. Kal,3,373,0.0,6,0.0,,4.03,-0.97,4,95662,True,Lucas Kal Schenfeld Progioli,,,,,,,,,,,,,,,,,,
264,Trauco,Criciúma,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_38OPKZz.png,trauco,2,Trauco,3,288,0.0,6,0.1,,3.42,0.0,2,95738,False,Miguel Ángel Trauco Saavedra,1.0,1.0,,,,,,,,,,,,,,,,
265,Tobias Figueiredo,Criciúma,https://s.sde.globo.com/media/person_role/2024/03/07/photo_FORMATO_GTVYOSI.png,tobias-figueiredo,0,T. Figueiredo,3,288,0.0,5,0.0,,3.0,0.0,3,95878,False,Tobias Pereira Figueiredo,,,,,,,,,,,,,,,,,,
266,Machado,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_frORMmM.png,machado,1,Machado,3,283,0.0,6,0.0,,3.22,-0.78,4,96089,True,Luiz Filipe da Rosa Machado - Felipe,,,,,,,,,,,,,,,,,,
267,Lima,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Lwuhu7n.png,lima,2,Lima,3,266,-1.3,7,8.45,,10.71,0.18,4,96340,True,Vinicius Moreira de Lima,1.0,1.0,1.0,,,2.0,2.0,,,,,,,,,,,
