,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,CA,DS,FC,FD,FF,FS,G,DE,GS,SG,I,A,V,PC,FT,PS,CV,PP
30,Ganso,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,ganso,2,Ganso,3,266,6.9,2,9.3,,10.79,1.73,4,62977,True,Paulo Henrique Chagas de Lima,1.0,1.0,2.0,,,2.0,1.0,,,,,2.0,,,,,,
31,Marcos Rocha,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,marcos-rocha,2,M. Rocha,3,275,5.0,2,2.35,,6.53,0.31,2,63013,True,Marcos Luis Rocha Aquino,,,1.0,,,,,,,1.0,,,,,,,,
32,Alan Ruschel,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,alan-ruschel,0,A. Ruschel,3,286,0.0,6,0.0,,4.0,0.0,2,63110,False,Alan Luciano Ruschel,,,,,,,,,,,,,,,,,,
33,Edenílson,Grêmio,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,edenilson,0,Edenílson,3,284,0.0,2,0.0,,7.0,0.0,4,63289,False,Edenílson Andrade dos Santos,,,,,,,,,,,,,,,,,,
34,Alan Patrick,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,alan-patrick,0,A. Patrick,3,285,0.0,5,0.0,,16.0,0.0,4,68685,False,Alan Patrick Lourenço,,,,,,,,,,,,,,,,,,
35,Eduardo,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,eduardo,1,Eduardo,3,263,-0.4,7,-0.4,,8.73,-2.27,4,68708,True,Carlos Eduardo de Oliveira Alves,,,1.0,,,,,,,,1.0,,,,,,,
36,Marcelo Lomba,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,marcelo-lomba,0,M. Lomba,3,275,0.0,6,0.0,,6.0,0.0,1,68872,False,Marcelo Lomba do Nascimento,,,,,,,,,,,,,,,,,,
37,Dudu,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,dudu,0,Dudu,3,275,0.0,5,0.0,,10.0,0.0,5,68920,False,Eduardo Pereira Rodrigues,,,,,,,,,,,,,,,,,,
38,Rafael,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,rafael,3,Rafael,3,276,5.0,7,1.67,,7.22,0.18,1,68928,True,Rafael Pires Monteiro,,,,,,,,4.0,4.0,1.0,,,,,,,,
39,Rafael Cabral,Grêmio,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,rafael-cabral,0,R. Cabral,3,284,0.0,6,0.0,,8.0,0.0,1,68940,False,Rafael Cabral Barbosa,,,,,,,,,,,,,,,,,,
