,atletas.foto,atletas.jogos_num,atletas.variacao_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.clube.id.full.name,atletas.status_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.media_num,atletas.pontos_num,atletas.nome,atletas.slug,A,CA,DS,FC,FD,FF,FS,G,I,SG,CV,FT,DE,GS,V,PS,PC,PP,GC,DP
44,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,12,-0.08,True,M. Gabriel,68954,,Marquinhos Gabriel,Criciúma,6,20,288,4,3.01,0.92,0.2,Marcos Gabriel do Nascimento,marquinhos-gabriel,,2.0,4.0,6.0,3.0,3.0,8.0,,,,,,,,,,,,,
45,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,13,0.81,True,L. Sasha,68991,,Lucas Sasha,Fortaleza,7,20,356,4,5.85,3.03,7.5,Lucas Pacheco Affini,lucas-sasha,,1.0,33.0,23.0,2.0,1.0,9.0,,,,,,,,,,,,,
46,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,0,0.0,False,Santos,69012,,Santos,Fortaleza,6,20,356,1,8.0,0.0,0.0,Aderbar Melo dos Santos Neto,santos,,,,,,,,,,,,,,,,,,,,
47,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,6,0.0,False,Manoel,69014,,Manoel,Fluminense,6,20,266,3,2.96,0.25,0.0,Manoel Messias Silva Carvalho,manoel,,1.0,2.0,7.0,1.0,,2.0,,,,,,,,,,,,,
48,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,0,-0.02,False,Muriel,69041,,Muriel,Vitória,6,20,287,1,3.52,-1.0,-1.0,Muriel Gustavo Becker,muriel,,2.0,,,,,,,,,,,,,,,,,,
49,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,0,0.0,False,D. Fernandes,69051,,Danilo Fernandes,Bahia,6,20,265,1,3.54,-1.0,0.0,Danilo Fernandes Batista,danilo-fernandes,,1.0,,,,,,,,,,,,,,,,,,
50,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,2,0.0,False,J. Rodríguez,69063,,James Rodríguez,São Paulo,6,20,276,4,4.84,-0.05,0.0,James David Rodríguez Rubio,james-rodriguez,,,,,,,,,1.0,,,,,,,,,,,
51,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,12,-0.1,True,Vargas,69102,,Vargas,Atlético-MG,6,20,282,5,5.42,4.06,0.5,Eduardo Jesús Vargas Rojas,vargas,,,3.0,2.0,4.0,4.0,8.0,4.0,3.0,,,,,,,2.0,,,,
52,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,16,0.02,True,Pablo,69138,,Pablo,Athlético-PR,6,20,293,5,5.45,2.03,0.9,Pablo Felipe Teixeira,pablo,1.0,5.0,6.0,17.0,3.0,7.0,4.0,2.0,,,,1.0,,,,,,,,
53,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,2,0.28,True,Allan,69140,,Allan,Botafogo,6,20,263,4,7.68,2.3,4.2,Allan Marques Loureiro,allan,,1.0,4.0,4.0,,,4.0,,,,,,,,,,,,,
