,atletas.nome,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.apelido,atletas.clube_id,atletas.slug,atletas.jogos_num,atletas.media_num,atletas.preco_num,atletas.atleta_id,atletas.foto,atletas.status_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.posicao_id,atletas.variacao_num,atletas.rodada_id,atletas.pontos_num,CA,DS,FC,FF,FS,SG,A,FD,G,I,FT,DE,DP,GS,PC,PP,PS,V,GC,CV
29,Douglas Costa de Souza,,True,Douglas Costa,266,douglas-costa,5,1.56,4.72,62020,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,6,D. Costa,Fluminense,5,-0.61,8,0.2,,4.0,3.0,,3.0,,,2.0,,,,,,,,,,,,
30,Paulo Henrique Chagas de Lima,,True,Ganso,266,ganso,6,3.22,7.24,62977,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,7,Ganso,Fluminense,4,-0.13,8,0.7,4.0,3.0,6.0,,7.0,,2.0,,1.0,,,,,,,,,,,
31,Marcos Luis Rocha Aquino,,True,Marcos Rocha,275,marcos-rocha,6,3.9,7.17,63013,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,7,M. Rocha,Palmeiras,2,0.58,8,5.5,,3.0,4.0,,2.0,4.0,,,,,,,,,,,,,,
32,Alan Luciano Ruschel,,True,Alan Ruschel,286,alan-ruschel,3,1.5,3.79,63110,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,7,A. Ruschel,Juventude,2,0.25,8,2.8,,3.0,7.0,,6.0,,,,,,,,,,,,,,,
33,Edenílson Andrade dos Santos,,True,Edenílson,284,edenilson,3,3.03,6.92,63289,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,6,Edenílson,Grêmio,4,1.2,8,7.7,,,3.0,,4.0,,,,1.0,,,,,,,,,,,
34,Alan Patrick Lourenço,,True,Alan Patrick,285,alan-patrick,2,-0.55,12.34,68685,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,2,A. Patrick,Internacional,4,-1.42,8,0.5,1.0,,2.0,,1.0,,,,,,,,,,,,,,,
35,Carlos Eduardo de Oliveira Alves,,False,Eduardo,263,eduardo,2,-0.1,7.46,68708,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,6,Eduardo,Botafogo,4,0.0,8,0.0,,,2.0,,1.0,,,,,1.0,,,,,,,,,,
36,Marcelo Lomba do Nascimento,,False,Marcelo Lomba,275,marcelo-lomba,0,0.0,6.0,68872,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,6,M. Lomba,Palmeiras,1,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
37,Eduardo Pereira Rodrigues,,False,Dudu,275,dudu,0,0.0,10.0,68920,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,6,Dudu,Palmeiras,5,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
38,Rafael Pires Monteiro,,False,Rafael,276,rafael,7,3.0,7.52,68928,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,6,Rafael,São Paulo,1,0.0,8,0.0,,,,,,3.0,,,,,,12.0,,6.0,,,,,,
39,Rafael Cabral Barbosa,,True,Rafael Cabral,284,rafael-cabral,3,1.33,6.43,68940,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,7,R. Cabral,Grêmio,1,-0.26,8,2.0,,,,,,,,,,,,9.0,,5.0,,,,,,
40,Mário Sérgio Santos Costa,,False,Marinho,356,marinho,5,1.84,4.49,68952,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,5,Marinho,Fortaleza,5,0.0,8,0.0,1.0,3.0,5.0,6.0,5.0,,,1.0,,4.0,,,,,,,,,,
41,Marcos Gabriel do Nascimento,,True,Marquinhos Gabriel,288,marquinhos-gabriel,5,1.74,3.84,68954,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,7,M. Gabriel,Criciúma,4,-0.88,8,0.0,1.0,4.0,2.0,2.0,3.0,,,2.0,,,,,,,,,,,,
42,Lucas Pacheco Affini,,False,Lucas Sasha,356,lucas-sasha,3,2.1,5.12,68991,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,5,L. Sasha,Fortaleza,4,0.0,8,0.0,,6.0,3.0,,,,,,,,,,,,,,,,,
43,Aderbar Melo dos Santos Neto,,False,Santos,356,santos,0,0.0,8.0,69012,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,6,Santos,Fortaleza,1,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
44,Manoel Messias Silva Carvalho,,True,Manoel,266,manoel,5,0.36,3.18,69014,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,6,Manoel,Fluminense,3,-0.42,8,-0.3,1.0,2.0,6.0,,2.0,,,1.0,,,,,,,,,,,,
45,Muriel Gustavo Becker,,False,Muriel,287,muriel,0,0.0,4.0,69041,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,6,Muriel,Vitória,1,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
46,Danilo Fernandes Batista,,False,Danilo Fernandes,265,danilo-fernandes,0,0.0,4.0,69051,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,6,D. Fernandes,Bahia,1,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
47,James David Rodríguez Rubio,,False,James Rodríguez,276,james-rodriguez,2,-0.05,4.84,69063,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,6,J. Rodríguez,São Paulo,4,0.0,8,0.0,,,,,,,,,,1.0,,,,,,,,,,
48,Eduardo Jesús Vargas Rojas,,False,Vargas,282,vargas,6,5.42,5.65,69102,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,6,Vargas,Atlético-MG,5,0.0,8,0.0,,2.0,2.0,4.0,3.0,,,1.0,3.0,2.0,,,,,,,1.0,,,
49,Pablo Felipe Teixeira,,True,Pablo,293,pablo,7,3.45,6.73,69138,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,6,Pablo,Athlético-PR,5,-0.44,8,0.0,1.0,3.0,7.0,3.0,2.0,,,1.0,2.0,,1.0,,,,,,,,,
50,Pablo Nascimento Castro,,False,Pablo,263,pablo,1,0.0,3.22,69165,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,6,Pablo,Botafogo,3,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
51,Charles Mariano Aránguiz Sandoval,,True,Aránguiz,285,aranguiz,2,0.55,5.92,69325,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,7,Aránguiz,Internacional,4,-0.79,8,0.0,1.0,1.0,6.0,,3.0,,,1.0,,,,,,,,,,,,
52,João Pedro Geraldino dos Santos Galvão,,True,João Pedro Galvão,284,joao-pedro-galvao,6,1.23,3.49,69686,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,7,J. Galvão,Grêmio,5,-0.1,8,1.2,1.0,2.0,8.0,1.0,8.0,,,3.0,,,,,,,,,,,,
53,Maycon Vinícius Ferreira da Cruz,,True,Nikão,293,nikao,5,6.28,9.78,69705,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,7,Nikão,Athlético-PR,4,0.19,8,6.6,,10.0,1.0,5.0,6.0,,,4.0,1.0,1.0,,,,,,,,,,
54,Lucas Rodrigues Moura da Silva,,True,Lucas Moura,276,lucas-moura,2,8.9,18.32,70164,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,7,L. Moura,São Paulo,4,-1.33,8,4.1,,5.0,3.0,1.0,3.0,,,2.0,1.0,,,,,,,,,,,
55,Rafael Pereira da Silva,,False,Rafael,263,rafael,0,0.0,3.0,70171,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,5,Rafael,Botafogo,2,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
56,Fábio Pereira da Silva,,True,Fábio,284,fabio,5,4.04,6.09,70172,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,6,Fábio,Grêmio,2,-0.96,8,0.5,1.0,5.0,3.0,2.0,5.0,2.0,,,,,1.0,,,,1.0,,,,,
57,Luiz Gustavo de Almeida Pinto,,True,Gustavo,288,gustavo,3,5.0,6.47,70216,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,7,Gustavo,Criciúma,1,-0.42,8,0.0,1.0,,,,,1.0,,,,,,9.0,1.0,5.0,,,,,,
58,Bruno Uvini Bortolança,,False,Bruno Uvini,287,bruno-uvini,4,0.67,2.87,70221,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,6,B. Uvini,Vitória,3,0.0,8,0.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
59,Diego da Silva Costa,,False,Diego Costa,284,diego-costa,2,1.0,6.25,70316,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,5,D. Costa,Grêmio,5,0.0,8,0.0,,2.0,,,3.0,,,1.0,,1.0,,,,,,,,,,1.0
60,Agustín Federico Marchesín,,False,Marchesín,284,marchesin,3,4.0,6.66,70332,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,6,Marchesín,Grêmio,1,0.0,8,0.0,,,,,,2.0,,,,,,4.0,,2.0,,,,,,
61,Eduardo Colcenti Antunes,,True,Eduardo Sasha,280,eduardo-sasha,6,4.0,7.83,70360,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,3,E. Sasha,Bragantino,5,-1.27,8,-2.5,1.0,3.0,5.0,2.0,7.0,,,4.0,2.0,,,,,,,,,,,1.0
62,Gabriel Vasconcelos Ferreira,,True,Gabriel,286,gabriel,6,1.83,3.61,70449,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,7,Gabriel,Juventude,1,0.01,8,2.0,2.0,,,,2.0,1.0,,,,,,16.0,,9.0,,,,,,
63,Marllon Gonçalves Jerônimo Borges,,True,Marllon,1371,marllon,6,1.37,3.16,70666,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,7,Marllon,Cuiabá,3,0.06,8,1.1,2.0,8.0,2.0,,2.0,,,1.0,,,,,,,1.0,,,,,
64,Enner Remberto Valencia Lastra,,False,Enner Valencia,285,enner-valencia,1,0.5,15.47,70788,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,6,E. Valencia,Internacional,5,0.0,8,0.0,,,,,1.0,,,,,,,,,,,,,,,
65,Diogo Barbosa Mendanha,,False,Diogo Barbosa,266,diogo-barbosa,3,0.33,3.57,70916,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,6,D. Barbosa,Fluminense,2,0.0,8,0.0,1.0,2.0,3.0,,1.0,,,,,,,,,,,,,,,
66,Bruno Henrique Corsini,,True,Bruno Henrique,285,bruno-henrique,6,2.63,5.72,70944,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,7,B. Henrique,Internacional,4,-0.24,8,0.8,,9.0,16.0,2.0,4.0,,1.0,1.0,,,,,,,,,,,,
67,Jean Carlos Vicente,,False,Jean Carlos,286,jean-carlos,3,8.5,9.85,70958,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,5,J. Carlos,Juventude,4,0.0,8,0.0,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,
68,Florent Dimitri Payet,,False,Payet,267,payet,3,5.77,7.23,70984,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,7,Payet,Vasco,4,0.0,8,0.0,,2.0,1.0,,2.0,,2.0,1.0,,,1.0,,,,,,,,,
69,Pedro Henrique Pereira da Silva,,False,Pedro Henrique,373,pedro-henrique,3,2.9,4.07,71038,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,6,P. Henrique,Atlético-GO,3,0.0,8,0.0,1.0,3.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,
70,Maicon Pereira Roque,,True,Maicon,267,maicon,7,2.25,3.97,71227,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,7,Maicon,Vasco,3,-0.09,8,1.2,1.0,5.0,2.0,1.0,3.0,,,1.0,1.0,1.0,,,,,,,,,,
71,Luiz Gustavo Dias,,True,Luiz Gustavo,276,luiz-gustavo,2,0.4,5.0,71536,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,7,L. Gustavo,São Paulo,4,-0.39,8,0.8,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
72,Weverton Pereira da Silva,,True,Weverton,275,weverton,8,5.25,11.6,71631,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,7,Weverton,Palmeiras,1,0.67,8,7.0,1.0,,,,,5.0,,,,,,22.0,,4.0,,,,,,
73,Raúl Alejandro Cáceres Bogado,,False,Raúl Cáceres,287,raul-caceres,0,0.0,3.0,71680,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,6,R. Cáceres,Vitória,2,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
74,Gustavo Raúl Gómez Portillo,,False,Gustavo Gómez,275,gustavo-gomez,6,5.02,10.8,71684,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,6,G. Gómez,Palmeiras,3,0.0,8,0.0,3.0,6.0,11.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,,,,,1.0,,,,1.0,
75,Santiago Arias Naranjo,,False,Santiago Arias,265,santiago-arias,6,3.32,5.58,71701,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,6,S. Arias,Bahia,2,0.0,8,0.0,1.0,5.0,6.0,1.0,12.0,2.0,,,,1.0,,,,,,,,,,
76,Gabriel Appelt Pires,,False,Gabriel Pires,266,gabriel-pires,0,0.0,4.0,71898,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,6,G. Pires,Fluminense,4,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
77,Everson Felipe Marques Pires,,True,Everson,282,everson,7,3.21,9.28,72294,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,3,Everson,Atlético-MG,1,0.22,8,3.0,3.0,,,,3.0,3.0,,,,,,14.0,,5.0,,,,,,
78,Felipe Alves Raymundo,,False,Felipe Alves,266,felipe-alves,0,0.0,5.0,72372,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,6,F. Alves,Fluminense,1,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
79,Fernando Diniz Silva,,True,Fernando Diniz,266,fernando-diniz,7,4.07,9.28,72391,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,7,F. Diniz,Fluminense,6,-0.35,8,2.35,,,,,,,,,,,,,,,,,,1.0,,
80,Gustavo Campanharo,,False,Gustavo Campanharo,373,gustavo-campanharo,0,0.0,5.0,72497,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,5,G. Campanharo,Atlético-GO,4,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
81,Magno José da Silva,,True,Maguinho,373,maguinho,5,3.6,5.07,72532,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,7,Maguinho,Atlético-GO,2,-0.99,8,2.3,,8.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0
82,Pedro Henrique Konzen Medina da Silva,,False,Pedro Henrique,264,pedro-henrique,2,1.4,5.32,72583,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,6,P. Henrique,Corinthians,5,0.0,8,0.0,1.0,2.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,
83,Maurício Kozlinski,,False,Maurício Kozlinski,356,mauricio-kozlinski,0,0.0,3.0,72595,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,6,M. Kozlinski,Fortaleza,1,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
84,Luiz Adriano de Souza da Silva,,True,Luiz Adriano,287,luiz-adriano,5,0.4,2.71,72772,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_NutbSGS.png,6,L. Adriano,Vitória,5,-0.41,8,0.5,,,2.0,,3.0,,,1.0,,1.0,,,,,,,,,,
85,Fernando Luiz Rosa,,True,Fernandinho,293,fernandinho,7,3.28,7.44,72775,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,7,Fernandinho,Athlético-PR,4,0.58,8,6.6,3.0,7.0,8.0,1.0,9.0,,2.0,4.0,,1.0,,,,,,,,,,
86,Wílker José Ángel Romero,,False,Wilker Ángel,288,wilker-angel,3,2.33,3.37,72801,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_i1tcVtm.png,6,W. Ángel,Criciúma,3,0.0,8,0.0,,1.0,3.0,,1.0,1.0,,1.0,,,,,,,,,,,,
87,Gabriel Iván Mercado,,False,Mercado,285,mercado,4,2.85,5.81,72951,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_o74D2pK.png,6,Mercado,Internacional,3,0.0,8,0.0,3.0,4.0,3.0,,1.0,2.0,,,,,,,,,,,,,,
