,atletas.slug,atletas.posicao_id,atletas.rodada_id,atletas.entrou_em_campo,atletas.clube_id,atletas.atleta_id,atletas.media_num,atletas.apelido,atletas.clube.id.full.name,atletas.pontos_num,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.apelido_abreviado,atletas.preco_num,atletas.nome,atletas.minimo_para_valorizar,atletas.jogos_num,CA,DS,FC,FD,FF,FS,SG,V,G,I,CV,A,FT,PS,DE,GS,PP,PC,DP,GC
375,gabriel-menino,4,38,True,275,103767,2.25,Gabriel Menino,Palmeiras,0.0,6,-0.19,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_yzWSMvb.png,G. Menino,4.57,Gabriel Vinícius Menino,,26,7.0,28.0,29.0,6.0,17.0,25.0,,,1.0,5.0,1.0,,1.0,,,,,,,
376,higor-meritao,4,38,False,288,103987,3.0,Higor Meritão,Criciúma,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_5y8FTJb.png,H. Meritão,4.06,Higor Matheus Meritão,,15,3.0,18.0,18.0,3.0,8.0,12.0,,,2.0,1.0,,,,,,,,,,
377,sabino,3,38,True,276,104075,3.16,Sabino,São Paulo,3.6,7,0.49,https://s.sde.globo.com/media/person_role/2024/03/15/photo_220x220_8aL4XNH.png,Sabino,6.07,José Sabino Chagas Monteiro,,13,3.0,15.0,11.0,3.0,4.0,5.0,4.0,,,,,,,,,,,,,
378,bruno-fuchs,3,38,False,282,104085,2.3,Bruno Fuchs,Atlético-MG,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_6xGko1v.png,B. Fuchs,5.07,Bruno de Lara Fuchs,,23,7.0,32.0,21.0,1.0,1.0,14.0,3.0,,,,1.0,1.0,1.0,,,,,1.0,,
379,lucas-arcanjo,1,38,True,287,104118,2.7,Lucas Arcanjo,Vitória,0.0,7,-0.03,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_0iYWFXU.png,L. Arcanjo,3.65,Lucas Willians Assis Arcanjo,,36,4.0,,,,,8.0,7.0,,,,,,,,115.0,52.0,,,,
380,ruan,4,38,False,264,104153,0.0,Ruan,Corinthians,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_EP2XIGK.png,Ruan,3.0,Ruan de Oliveira Ferreira,,0,,,,,,,,,,,,,,,,,,,,
381,raul,1,38,False,263,104191,-1.0,Raul,Botafogo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_ahcx1NO.png,Raul,1.6,Raul Jonas Steffens,,0,1.0,,,,,,,,,,,,,,,,,,,
382,edson-carioca,5,38,False,286,104204,4.19,Edson Carioca,Juventude,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Xv4P6TP.png,E. Carioca,4.67,Edson Guilherme Mendes dos Santos,,12,2.0,12.0,16.0,2.0,5.0,15.0,,,3.0,2.0,,1.0,,,,,,,,
383,joao-victor,3,38,True,267,104250,2.69,João Victor,Vasco,3.4,7,-0.29,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_or4O39H.png,J. Victor,5.08,João Victor da Silva Marcelino,,22,4.0,25.0,12.0,1.0,3.0,22.0,3.0,,1.0,,2.0,1.0,,,,,,,,
384,adriano-martins,3,38,True,373,104253,2.89,Adriano Martins,Atlético-GO,0.0,7,-0.52,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JuPF2jd.png,A. Martins,4.26,Adriano Martins da Fonseca,,32,7.0,49.0,31.0,7.0,10.0,11.0,6.0,,,2.0,,,,,,,,2.0,,
385,joao-lucas,2,38,True,286,104257,4.59,João Lucas,Juventude,3.4,7,-0.43,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Ey1s4jw.png,J. Lucas,6.71,João Lucas de Almeida Carvalho,,26,6.0,41.0,27.0,5.0,12.0,28.0,4.0,,1.0,,,6.0,,,,,,,,1.0
386,matheus-mendes,1,38,False,282,104383,2.86,Matheus Mendes,Atlético-MG,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_xQ2S67t.png,M. Mendes,4.52,Matheus Mendes Werneck de Oliveira,,11,1.0,,,,,3.0,1.0,,,,,,,,37.0,18.0,,,1.0,
387,christian,4,38,True,293,104502,1.95,Christian,Athlético-PR,0.0,6,-0.73,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_4ASqaCm.png,Christian,4.34,Christian Roberto Alves Cardoso,,23,7.0,24.0,37.0,6.0,7.0,28.0,,,1.0,4.0,,,,,,,,,,
388,igor-jesus,5,38,True,263,104528,5.65,Igor Jesus,Botafogo,11.8,7,1.43,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Scq0Epj.png,I. Jesus,8.44,Igor Jesus Maciel da Cruz,,21,2.0,10.0,20.0,18.0,23.0,39.0,,,5.0,10.0,,2.0,2.0,,,,,,,
389,fabricio,1,38,False,280,104588,2.0,Fabrício,Bragantino,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vCy6pfa.png,Fabrício,0.64,Fabrício Oliveira de Souza,,1,1.0,,,,,,,,,,,,,,5.0,2.0,,,,
390,moises,5,38,True,356,104666,3.49,Moisés,Fortaleza,18.2,7,2.59,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_bUKbhSF.png,Moisés,7.21,Moisés Vieira da Veiga,,24,,9.0,4.0,5.0,11.0,8.0,,,6.0,6.0,,1.0,1.0,,,,,,,
391,newton,4,38,True,288,104693,2.52,Newton,Criciúma,0.4,7,-0.36,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TFHsgGX.png,Newton,3.4,Newton Araújo da Costa Júnior,,26,6.0,38.0,49.0,5.0,13.0,23.0,,,1.0,2.0,,1.0,,,,,,,,
392,juan-vojvoda,6,38,True,356,104754,5.39,Juan Vojvoda,Fortaleza,8.48,7,0.87,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_UIx1Yzg.png,J. Vojvoda,9.61,Juan Pablo Vojvoda Rizzo,,35,,,,,,,,19.0,,,,,,,,,,,,
393,leo-godoy,2,38,True,293,104759,2.5,Leo Godoy,Athlético-PR,1.0,7,0.0,https://s.sde.globo.com/media/person_role/2024/01/19/photo_FORMATO.png,L. Godoy,5.77,Leonardo Ezequiel Godoy,,25,5.0,14.0,31.0,1.0,4.0,17.0,6.0,,1.0,1.0,,2.0,,,,,,1.0,,
394,acevedo,4,38,True,265,104783,0.86,Acevedo,Bahia,-1.6,6,-0.62,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_426fnSQ.png,Acevedo,3.42,Nicolás Brian Acevedo Tabárez,,7,1.0,4.0,6.0,1.0,1.0,4.0,,,,,,,,,,,,,,
395,arezo,5,38,False,284,104849,1.51,Arezo,Grêmio,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/07/19/photo_220x220_kYTTzDW.png,Arezo,4.16,Douglas Matías Arezo Martínez,,8,,3.0,3.0,4.0,4.0,1.0,,,,1.0,,,,1.0,,,,,,
396,wagner-leonardo,3,38,True,287,104994,3.78,Wagner Leonardo,Vitória,1.2,7,-0.03,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_kfLtGgD.png,W. Leonardo,5.39,Wagner Leonardo Calvelo de Souza,,35,4.0,40.0,14.0,6.0,8.0,9.0,8.0,,5.0,2.0,1.0,,,,,,,,,1.0
397,joao-marcelo,3,38,True,283,105047,3.0,João Marcelo,Cruzeiro,5.7,7,0.57,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_s2GXfyO.png,J. Marcelo,5.04,João Marcelo Messias Ferreira,,29,6.0,27.0,19.0,3.0,7.0,10.0,9.0,,,3.0,1.0,2.0,,,,,,,,
398,ferraresi,3,38,False,276,105300,4.8,Ferraresi,São Paulo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_of5ELHS.png,Ferraresi,6.86,Nahuel Adolfo Ferraresi Hernández,,14,2.0,22.0,10.0,1.0,2.0,4.0,5.0,,1.0,,,1.0,1.0,,,,,,,
399,hurtado,5,38,True,373,105301,1.25,Hurtado,Atlético-GO,-0.3,6,-0.05,https://s.sde.globo.com/media/person_role/2024/07/17/photo_FORMATO.png,Hurtado,3.49,Jan Carlos Hurtado Anchico,,18,2.0,9.0,22.0,7.0,3.0,10.0,,,1.0,4.0,1.0,,,,,,,,,
400,gabriel-xavier,3,38,True,265,105373,3.27,Gabriel Xavier,Bahia,9.0,7,1.24,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7TSdotN.png,G. Xavier,6.39,Gabriel Lheman Xavier - Lhman,,32,6.0,41.0,41.0,7.0,9.0,11.0,10.0,,,,,,1.0,,,,,,,
401,matheus-bidu,2,38,True,264,105531,4.99,Matheus Bidu,Corinthians,9.2,7,-1.39,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_1Zas2lO.png,M. Bidu,8.15,Matheus Lima Beltrão Oliveira Valin,,22,3.0,29.0,10.0,6.0,10.0,20.0,7.0,,2.0,2.0,,1.0,,,,,,,,
402,lucero,5,38,True,356,105568,2.98,Lucero,Fortaleza,1.7,7,0.39,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_W3SXUOe.png,Lucero,7.57,Juan Martín Lucero,,29,8.0,7.0,35.0,12.0,16.0,26.0,,,7.0,8.0,,1.0,,,,,1.0,,,
403,lucas-piton,2,38,False,267,105584,4.12,Lucas Piton,Vasco,0.0,3,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_hcvXauo.png,L. Piton,7.56,Lucas Piton Crivellaro,,31,6.0,59.0,33.0,2.0,9.0,11.0,5.0,,1.0,,,5.0,,,,,,,,
404,roni,4,38,True,373,105585,1.94,Roni,Atlético-GO,0.7,7,0.11,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_jbubVwk.png,Roni,3.12,Roni Medeiros de Moura,,22,5.0,25.0,17.0,4.0,5.0,12.0,,,1.0,,,,,,,,,,,
405,mauricio,4,38,True,275,105647,2.86,Maurício,Palmeiras,0.0,7,-1.34,https://s.sde.globo.com/media/person_role/2024/06/28/photo_FORMATO_8WcVxWa.png,Maurício,5.42,Maurício Magalhães Prado,,23,2.0,11.0,11.0,7.0,11.0,24.0,,,3.0,,,,1.0,2.0,,,,,,
406,talles-magno,5,38,True,264,105786,3.15,Talles Magno,Corinthians,-0.3,6,-0.28,https://s.sde.globo.com/media/person_role/2024/08/16/photo_FORMATO_vjED9BC.png,T. Magno,6.37,Talles Magno Bacelar Martins,,13,2.0,7.0,9.0,4.0,4.0,9.0,,,2.0,2.0,,1.0,1.0,1.0,,,,,,
407,wesley,5,38,False,285,105811,7.29,Wesley,Internacional,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_X6kjIiZ.png,Wesley,10.85,Wesley Ribeiro Silva,,29,11.0,45.0,56.0,19.0,20.0,78.0,,,11.0,8.0,,1.0,4.0,3.0,,,,,,
408,edu,3,38,True,287,105842,2.47,Edu,Vitória,1.6,7,-0.13,https://s.sde.globo.com/media/person_role/2024/08/23/photo_FORMATO_XVH1nU3.png,Edu,4.11,Lucas Eduardo Ribeiro de Souza,,12,2.0,12.0,6.0,1.0,1.0,4.0,3.0,,,,,,,,,,,,,
409,belezi,3,38,True,293,105844,3.2,Belezi,Athlético-PR,2.1,7,0.23,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_G0fv4ti.png,Belezi,4.07,Lucas Belezi Barbosa,,7,2.0,8.0,6.0,1.0,3.0,,1.0,,1.0,,,,,,,,,,,
410,matheus-araujo,4,38,False,264,105845,0.43,Matheus Araújo,Corinthians,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_bzn3fop.png,M. Araújo,2.76,Matheus de Araújo Andrade,,4,,1.0,,,,1.0,,,,,,,,,,,,,,
411,romulo,4,38,True,285,105911,2.21,Rômulo,Internacional,1.2,7,-0.23,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_lQJeqYA.png,Rômulo,3.61,Rômulo Zanre Zwarg,,25,2.0,41.0,32.0,2.0,5.0,16.0,,,,1.0,,,1.0,,,,,,,
412,rochet,1,38,True,285,105949,3.17,Rochet,Internacional,-1.0,7,0.03,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_1KgmN5n.png,Rochet,5.16,Sergio Ramón Rochet Álvarez,,24,4.0,,,,,6.0,7.0,,,,,,,,65.0,23.0,,,,
413,ewerthon,2,38,True,286,106082,3.25,Ewerthon,Juventude,2.0,7,-0.14,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_cNnjyZe.png,Ewerthon,5.37,Ewerthon Diógenes da Silva,,21,1.0,19.0,4.0,5.0,11.0,10.0,2.0,,1.0,1.0,,2.0,,,,,,,,
414,thiago-carpini,6,38,True,287,106147,4.77,Thiago Carpini,Vitória,4.6,7,0.12,https://s.sde.globo.com/media/person_role/2024/05/14/photo_FORMATO_IgX32oN.png,T. Carpini,8.06,Thiago Carpini Barbosa,,34,,,,,,,,13.0,,,,,,,,,,,,
415,lucao,1,38,False,280,106160,2.13,Lucão,Bragantino,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_wvc5kfv.png,Lucão,3.36,Lucas Alexandre Galdino de Azevedo,,8,1.0,,,,,,1.0,,,,,,,,22.0,9.0,,,,
416,bruno-gomes,4,38,True,285,106202,3.36,Bruno Gomes,Internacional,2.7,7,-0.24,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_sq3mb5j.png,B. Gomes,4.44,Bruno Gomes da Silva Clevelário,,24,1.0,37.0,22.0,2.0,7.0,33.0,,,1.0,,,2.0,,1.0,,,,,,
417,marcos-antonio,4,38,True,276,106294,0.83,Marcos Antônio,São Paulo,1.2,7,0.11,https://s.sde.globo.com/media/person_role/2024/07/23/photo_FORMATO_1CIojRS.png,M. Antônio,3.42,Marcos Antônio Silva Santos,,13,1.0,8.0,12.0,,1.0,10.0,,,,,,,,,,,,,,
418,caio-alexandre,4,38,True,265,106323,1.88,Caio Alexandre,Bahia,1.1,7,0.01,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_jiBs4Bk.png,C. Alexandre,4.58,Caio Alexandre Souza e Silva,,33,5.0,34.0,50.0,2.0,9.0,45.0,,,1.0,2.0,,,1.0,,,,,1.0,,
419,wesley-gasolina,2,38,False,283,106327,2.4,Wesley Gasolina,Cruzeiro,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_p7fftOF.png,W. Gasolina,3.54,Wesley David de Oliveira Andrade,,4,,2.0,2.0,,1.0,4.0,1.0,,,,,,,,,,,,,
420,jhonata-robert,5,38,True,288,106371,2.86,Jhonata Robert,Criciúma,3.6,7,0.16,https://s.sde.globo.com/media/person_role/2024/08/28/photo_FORMATO_V4UkXLF.png,J. Robert,3.85,Jhonata Robert Alves da Silva,,5,,4.0,1.0,2.0,3.0,10.0,,,,,,,,,,,,,,
421,eduardo-santos,3,38,False,280,106434,3.08,Eduardo Santos,Bragantino,0.0,5,0.0,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_wPSGjby.png,E. Santos,4.4,Eduardo Gonzaga Mendes Santos,,21,4.0,22.0,6.0,1.0,6.0,10.0,5.0,,1.0,,,,,,,,,,,
422,villalba,3,38,False,283,106593,2.85,Villalba,Cruzeiro,0.0,5,0.0,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_mqCHNug.png,Villalba,4.85,Lucas Hernán Villalba,,21,2.0,17.0,17.0,2.0,1.0,6.0,8.0,,,1.0,,,,,,,,,,
423,carlos-alberto,5,38,False,263,106704,2.66,Carlos Alberto,Botafogo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_220x220_DgukYrK.png,C. Alberto,5.14,Carlos Alberto Gomes da Silva Filho,,7,,5.0,3.0,2.0,2.0,3.0,,,1.0,,,,,,,,,,,
424,rodrigo-nestor,4,38,True,276,106822,1.3,Rodrigo Nestor,São Paulo,5.3,7,0.53,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_LPbAkh9.png,R. Nestor,4.33,Rodrigo Nestor Bertalia,,25,3.0,10.0,12.0,9.0,4.0,10.0,,,,4.0,1.0,2.0,,1.0,,,,,,
425,welington,2,38,False,276,106824,4.18,Welington,São Paulo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_Z3aNUXx.png,Welington,7.73,Welington Damascena Santos,,22,6.0,34.0,22.0,2.0,6.0,25.0,8.0,,,,,1.0,,,,,,1.0,,
426,patryck,2,38,True,276,106829,2.34,Patryck,São Paulo,3.3,7,0.31,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_mCvHWjt.png,Patryck,3.59,Patryck Lanza dos Reis,,12,1.0,15.0,9.0,,1.0,6.0,2.0,,,1.0,,,,,,,,,,
427,luan-patrick,3,38,False,293,106835,0.0,Luan Patrick,Athlético-PR,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_AUtEehU.png,L. Patrick,5.0,Luan Patrick Wiedthauper,,0,,,,,,,,,,,,,,,,,,,,
428,fernando,2,38,True,293,106950,1.93,Fernando,Athlético-PR,0.0,6,0.01,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qx7ZU51.png,Fernando,4.1,Fernando Augusto Pereira Bueno Júnior,,14,3.0,10.0,12.0,,1.0,8.0,3.0,,,1.0,1.0,1.0,,,,,,,,
429,yuri-sena,1,38,False,287,107075,0.0,Yuri Sena,Vitória,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/09/21/photo_FORMATO.png,Y. Sena,1.0,Yuri Sena dos Reis Batista,,0,,,,,,,,,,,,,,,,,,,,
430,gabriel-santiago,4,38,False,287,107078,0.0,Gabriel Santiago,Vitória,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/09/06/photo_220x220_qdw6hw3.png,G. Santiago,3.0,Gabriel Santiago Oliveira,,0,,,,,,,,,,,,,,,,,,,,
431,luciano-juba,2,38,True,265,107093,4.08,Luciano Juba,Bahia,5.5,7,0.28,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_rR1yZyw.png,L. Juba,6.68,Luciano Batista da Silva Júnior,,34,2.0,38.0,6.0,5.0,7.0,13.0,10.0,,3.0,1.0,,1.0,,,,,,,,
432,richard-rios,4,38,True,275,107111,4.63,Richard Ríos,Palmeiras,5.2,7,-0.54,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_PkMn7XO.png,R. Ríos,7.82,Richard Ríos Montoya,,22,6.0,37.0,40.0,5.0,14.0,33.0,,,2.0,1.0,,4.0,2.0,,,,,,,
433,jeffinho,5,38,False,263,107170,3.65,Jeffinho,Botafogo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_jfNtXEg.png,Jeffinho,6.22,Jefferson Ruan Pereira dos Santos,,7,2.0,4.0,7.0,4.0,5.0,6.0,,,1.0,,,1.0,,,,,,,,
434,patrick-de-paula,4,38,False,288,107172,1.8,Patrick de Paula,Criciúma,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/08/22/photo_FORMATO_V6Ybl3p.png,P. Paula,2.38,Patrick de Paula Carreiro,,8,2.0,9.0,5.0,2.0,4.0,3.0,,,,,,,,,,,,,,
435,michel-araujo,4,38,True,276,107173,1.7,Michel Araújo,São Paulo,0.5,6,-0.08,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_498ez5E.png,M. Araújo,3.83,Michel Daryl Araújo Villar,,20,4.0,19.0,15.0,3.0,4.0,16.0,,,,,,1.0,,,,,,,,
436,bruno-tabata,4,38,True,285,107174,3.85,Bruno Tabata,Internacional,1.4,7,-0.3,https://s.sde.globo.com/media/person_role/2024/08/11/photo_FORMATO_QXYKRgQ.png,B. Tabata,6.19,Bruno Vinícius Souza Ramos,,12,1.0,11.0,7.0,6.0,5.0,14.0,,,1.0,1.0,,2.0,,,,,,,,
437,matheus-donelli,1,38,False,264,107179,3.43,Matheus Donelli,Corinthians,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_9utJF4u.png,M. Donelli,4.59,Matheus Planelles Donelli,,7,,,,,,,,,,,,,,,29.0,12.0,,,1.0,
438,leo-linck,1,38,False,293,107183,1.82,Léo Linck,Athlético-PR,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_bL4Rm1s.png,L. Linck,3.29,Leonardo Matias Baiersdorf Linck,,14,1.0,,,,,1.0,1.0,,,,2.0,,,,48.0,21.0,,,,
439,leonardo-ataide,2,38,False,293,107191,0.0,Leonardo Ataíde,Athlético-PR,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_4kdpe6Z.png,L. Ataíde,2.0,Leonardo Ataíde de Oliveira Siqueira,,0,,,,,,,,,,,,,,,,,,,,
440,max,4,38,True,1371,107203,1.72,Max,Cuiabá,2.3,7,0.2,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_tZvTg6Z.png,Max,2.89,Max Alves da Silva,,19,3.0,13.0,8.0,4.0,12.0,10.0,,,,,,,1.0,,,,,,,
441,magrao,1,38,False,356,107221,0.0,Magrão,Fortaleza,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/08/07/photo_220x220_H5QTCcN.png,Magrão,2.0,Audenirton Soares da Silva,,0,,,,,,,,,,,,,,,,,,,,
442,vanderlan,2,38,True,275,107236,3.81,Vanderlan,Palmeiras,3.5,7,0.41,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_JhaBedf.png,Vanderlan,6.62,Vanderlan Barbosa da Silva,,25,,22.0,20.0,,4.0,5.0,11.0,,,,,3.0,,,,,,1.0,,
443,marcelinho,5,38,False,286,107238,2.98,Marcelinho,Juventude,-3.0,6,-0.53,https://s.sde.globo.com/media/person_role/2024/04/26/photo_FORMATO_1GgfZEe.png,Marcelinho,3.99,Marcelo José de Lima Filho,,21,2.0,8.0,8.0,7.0,9.0,28.0,,,2.0,5.0,1.0,3.0,,,,,,,,
444,ze-vitor,4,38,False,293,107256,0.35,Zé Vitor,Athlético-PR,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/13/photo_220x220_dAbIrS8.png,Z. Vitor,1.52,Jose Vitor Silva Neves,,9,2.0,3.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,
445,thayllon,5,38,False,373,107664,0.0,Thayllon,Atlético-GO,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_UGtlqUd.png,Thayllon,2.0,Thayllon Lopes Medeiros,,0,,,,,,,,,,,,,,,,,,,,
446,nathan,2,38,False,285,107676,-0.3,Nathan,Internacional,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/08/27/photo_FORMATO_pKQqZoC.png,Nathan,2.55,Nathan Santos de Araújo,,1,,,1.0,,,,,,,,,,,,,,,,,
447,eduardo-melo,5,38,True,288,107700,0.0,Eduardo Melo,Criciúma,0.0,6,-0.31,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_9c3cd5s.png,E. Melo,2.69,Eduardo de Queiroz Melo,,1,,,,,,,,,,,,,,,,,,,,
448,emerson-junior,1,38,False,373,107740,0.0,Emerson Júnior,Atlético-GO,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO.png,E. Júnior,2.0,Emerson Fabiano Kerber Júnior,,0,,,,,,,,,,,,,,,,,,,,
449,praxedes,4,38,False,293,107744,1.16,Praxedes,Athlético-PR,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/08/24/photo_FORMATO_Jq0f2vP.png,Praxedes,2.86,Bruno Conceição Praxedes,,12,2.0,10.0,12.0,2.0,2.0,7.0,,,,,,,,,,,,,,
450,adriel,1,38,False,265,107748,-1.0,Adriel,Bahia,-1.0,6,0.48,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0qGGyWx.png,Adriel,2.57,Adriel Vasconcelos Ramos,,3,1.0,,,,,,,,,,,,,,2.0,4.0,,,,
451,fabio-matias,6,38,True,286,107771,4.18,Fábio Matias,Juventude,1.9,7,-0.66,https://s.sde.globo.com/media/person_role/2024/10/30/photo_FORMATO_HxiWyPj.png,F. Matias,6.76,Fábio Henrique Matias,,6,,,,,,,,2.0,,,,,,,,,,,,
452,fernando-henrique,4,38,False,283,107800,0.0,Fernando Henrique,Cruzeiro,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_220x220_7OiYeRo.png,F. Henrique,4.0,Fernando Henrique do Nascimento Pereira,,0,,,,,,,,,,,,,,,,,,,,
453,nata,3,38,False,284,107801,3.09,Natã,Grêmio,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Kjugdhc.png,Natã,4.06,Natã Felipe de Amorim Santos,,11,1.0,7.0,2.0,1.0,,2.0,5.0,,,,,,,,,,,,,
454,fintelman,1,38,False,287,107859,0.0,Fintelman,Vitória,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_C8LyEyp.png,Fintelman,2.0,Alexandre Fintelman de Mello Ribeiro da Silva,,0,,,,,,,,,,,,,,,,,,,,
455,bobadilla,4,38,False,276,107873,2.2,Bobadilla,São Paulo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_BoNwEka.png,Bobadilla,3.8,Damián Josué Bobadilla Benítez,,18,3.0,24.0,25.0,1.0,6.0,2.0,,,1.0,,,,2.0,,,,,,,
456,hugo,2,38,False,264,107908,4.15,Hugo,Corinthians,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_h4IhTE1.png,Hugo,6.82,Hugo Ferreira de Farias,,25,3.0,41.0,38.0,1.0,9.0,11.0,6.0,,,1.0,,4.0,2.0,,,,,1.0,,
457,fausto-vera,4,38,True,282,107950,3.26,Fausto Vera,Atlético-MG,1.2,7,-0.32,https://s.sde.globo.com/media/person_role/2024/07/16/photo_FORMATO_Nu8Wc03.png,F. Vera,4.81,Fausto Mariano Vera,,23,,30.0,26.0,9.0,17.0,12.0,,,2.0,,,,1.0,,,,,,,1.0
458,isidro-pitta,5,38,False,1371,108133,2.58,Isidro Pitta,Cuiabá,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_VmtW8Bv.png,I. Pitta,4.49,Isidro Miguel Pitta Saldívar,,31,5.0,6.0,26.0,16.0,21.0,29.0,,,4.0,27.0,,1.0,1.0,2.0,,,1.0,,,
459,almada,4,38,True,263,108358,2.83,Almada,Botafogo,0.7,7,-0.65,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_Hm0Qmc9.png,Almada,6.49,Thiago Ezequiel Almada,,16,,9.0,4.0,8.0,12.0,15.0,,,1.0,1.0,,1.0,,,,,1.0,,,
460,aravena,5,38,False,284,108548,2.71,Aravena,Grêmio,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/08/21/photo_FORMATO_fKAXShu.png,Aravena,3.48,Alexander Ernesto Aravena Guzmán,,12,,,1.0,7.0,2.0,10.0,,,1.0,2.0,,2.0,,,,,,,,
