,atletas.slug,atletas.posicao_id,atletas.rodada_id,atletas.entrou_em_campo,atletas.clube_id,atletas.atleta_id,atletas.media_num,atletas.apelido,atletas.clube.id.full.name,atletas.pontos_num,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.apelido_abreviado,atletas.preco_num,atletas.nome,atletas.minimo_para_valorizar,atletas.jogos_num,CA,DS,FC,FD,FF,FS,SG,V,G,I,CV,A,FT,PS,DE,GS,PP,PC,DP,GC
28,marcos-rocha,2,38,True,275,63013,4.57,Marcos Rocha,Palmeiras,-0.3,6,-1.36,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,M. Rocha,6.97,Marcos Luis Rocha Aquino,,26,5.0,40.0,26.0,1.0,2.0,12.0,13.0,,,2.0,,2.0,,,,,,,,
29,alan-ruschel,2,38,True,286,63110,3.32,Alan Ruschel,Juventude,-2.8,6,-1.24,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,A. Ruschel,4.31,Alan Luciano Ruschel,,24,3.0,45.0,23.0,,4.0,31.0,2.0,,1.0,,2.0,1.0,,,,,,,,
30,edenilson,4,38,False,284,63289,1.7,Edenílson,Grêmio,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,Edenílson,3.88,Edenílson Andrade dos Santos,,26,3.0,15.0,19.0,5.0,3.0,23.0,,,1.0,3.0,,1.0,1.0,,,,,,,
31,alan-patrick,4,38,False,285,68685,5.57,Alan Patrick,Internacional,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,A. Patrick,10.51,Alan Patrick Lourenço,,19,3.0,16.0,18.0,10.0,9.0,28.0,,,7.0,,,2.0,,,,,1.0,,,
32,eduardo,4,38,False,263,68708,2.19,Eduardo,Botafogo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,Eduardo,5.76,Carlos Eduardo de Oliveira Alves,,16,1.0,8.0,12.0,3.0,6.0,10.0,,,2.0,1.0,,1.0,,,,,1.0,,,
33,marcelo-lomba,1,38,False,275,68872,-1.0,Marcelo Lomba,Palmeiras,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,M. Lomba,4.99,Marcelo Lomba do Nascimento,,1,,,,,,,,,,,,,,,1.0,2.0,,,,
34,philippe-coutinho,4,38,True,267,68899,3.07,Philippe Coutinho,Vasco,3.0,7,-1.52,https://s.sde.globo.com/media/person_role/2024/07/10/photo_FORMATO.png,P. Coutinho,6.12,Philippe Coutinho Correia,,14,,6.0,8.0,5.0,6.0,13.0,,,2.0,,,1.0,,,,,,,,
35,dudu,5,38,True,275,68920,1.44,Dudu,Palmeiras,-0.1,6,-0.23,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,Dudu,5.13,Eduardo Pereira Rodrigues,,16,,5.0,4.0,5.0,3.0,18.0,,,,2.0,,,,1.0,,,,,,
36,rafael,1,38,False,276,68928,3.2,Rafael,São Paulo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,Rafael,6.52,Rafael Pires Monteiro,,25,1.0,,,,,2.0,8.0,,,,,,,,67.0,27.0,,,,
37,rafael-cabral,1,38,False,284,68940,2.08,Rafael Cabral,Grêmio,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,R. Cabral,5.34,Rafael Cabral Barbosa,,6,,,,,,1.0,1.0,,,,,,,,15.0,8.0,,,,
38,marinho,5,38,True,356,68952,5.07,Marinho,Fortaleza,5.5,7,-0.34,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,Marinho,6.94,Mário Sérgio Santos Costa,,21,4.0,26.0,29.0,11.0,19.0,59.0,,,3.0,10.0,1.0,2.0,,,,,,,,
39,marquinhos-gabriel,4,38,False,288,68954,1.02,Marquinhos Gabriel,Criciúma,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,M. Gabriel,2.95,Marcos Gabriel do Nascimento,,23,3.0,11.0,7.0,4.0,6.0,12.0,,,,3.0,,,,,,,,,,
40,lucas-sasha,4,38,False,356,68991,3.57,Lucas Sasha,Fortaleza,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,L. Sasha,6.5,Lucas Pacheco Affini,,18,2.0,53.0,33.0,2.0,1.0,19.0,,,,,,,,,,,,,,
41,santos,1,38,False,356,69012,0.0,Santos,Fortaleza,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,Santos,8.0,Aderbar Melo dos Santos Neto,,0,,,,,,,,,,,,,,,,,,,,
42,manoel,3,38,True,266,69014,1.86,Manoel,Fluminense,5.0,6,0.65,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,Manoel,4.16,Manoel Messias Silva Carvalho,,11,2.0,6.0,8.0,1.0,,3.0,3.0,,,,,,,,,,,,,
43,muriel,1,38,False,287,69041,6.5,Muriel,Vitória,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,Muriel,5.94,Muriel Gustavo Becker,,1,2.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,
44,danilo-fernandes,1,38,True,265,69051,9.0,Danilo Fernandes,Bahia,9.0,7,3.5,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,D. Fernandes,7.04,Danilo Fernandes Batista,,1,1.0,,,,,2.0,1.0,,,,,,,,3.0,,,,,
