,atletas.minimo_para_valorizar,atletas.media_num,atletas.nome,atletas.posicao_id,atletas.clube_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.apelido,atletas.preco_num,atletas.pontos_num,atletas.atleta_id,atletas.foto,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.status_id,atletas.variacao_num,atletas.rodada_id,CA,DE,FS,GS,SG,A,CV,DS,FC,FD,FF,G,I,V,FT,PP,PS,GC,PC,DP
60,,3.13,Fábio Pereira da Silva,2,284,Fábio,Grêmio,Fábio,5.49,0.0,70172,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,False,fabio,7,5,0.0,18,1.0,,9.0,,2.0,,,5.0,4.0,,2.0,,,,1.0,,,,1.0,
61,,3.73,Luiz Gustavo de Almeida Pinto,1,288,Gustavo,Criciúma,Gustavo,6.65,8.0,70216,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,True,gustavo,12,6,0.89,18,2.0,43.0,,17.0,2.0,,1.0,,1.0,,,,,,,,,,,2.0
62,,0.48,Bruno Uvini Bortolança,3,287,B. Uvini,Vitória,Bruno Uvini,2.22,0.0,70221,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,False,bruno-uvini,6,6,0.0,18,1.0,,1.0,,,,,2.0,2.0,,2.0,,,,,,,,,
63,,1.0,Diego da Silva Costa,5,284,D. Costa,Grêmio,Diego Costa,6.25,0.0,70316,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,False,diego-costa,2,5,0.0,18,,,3.0,,,,1.0,2.0,,1.0,,,1.0,,,,,,,
64,,3.5,Agustín Federico Marchesín,1,284,Marchesín,Grêmio,Marchesín,6.28,5.0,70332,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,True,marchesin,11,7,0.02,18,1.0,29.0,1.0,10.0,4.0,,,,,,,,,,,,,,,
65,,4.64,Eduardo Colcenti Antunes,5,280,E. Sasha,Bragantino,Eduardo Sasha,8.33,0.0,70360,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,False,eduardo-sasha,10,5,0.0,18,2.0,,8.0,,,3.0,1.0,5.0,8.0,8.0,4.0,2.0,,,,,,,,
66,,3.32,Gabriel Vasconcelos Ferreira,1,286,Gabriel,Juventude,Gabriel,5.1,7.0,70449,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,True,gabriel,13,7,-0.13,18,3.0,43.0,2.0,18.0,4.0,,,,,,,,,,,,,,,
67,,3.35,Felipe Anderson Pereira Gomes,4,275,F. Anderson,Palmeiras,Felipe Anderson,9.97,2.9,70592,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,True,felipe-anderson,2,7,-0.42,18,,,1.0,,,,,4.0,2.0,1.0,1.0,,,,,,,,,
68,,2.72,Marllon Gonçalves Jerônimo Borges,3,1371,Marllon,Cuiabá,Marllon,4.08,1.3,70666,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,True,marllon,13,6,0.02,18,2.0,,5.0,,2.0,,,14.0,10.0,2.0,2.0,1.0,,,,,,,1.0,
69,,0.5,Enner Remberto Valencia Lastra,5,285,E. Valencia,Internacional,Enner Valencia,15.47,0.0,70788,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,False,enner-valencia,1,5,0.0,18,,,1.0,,,,,,,,,,,,,,,,,
70,,1.31,Diogo Barbosa Mendanha,2,266,D. Barbosa,Fluminense,Diogo Barbosa,3.68,7.0,70916,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,True,diogo-barbosa,11,7,0.85,18,3.0,,7.0,,1.0,,,8.0,5.0,,1.0,,,,,,,,,
71,,3.0,Bruno Henrique Corsini,4,285,B. Henrique,Internacional,Bruno Henrique,5.93,3.4,70944,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,True,bruno-henrique,14,6,0.48,18,2.0,,9.0,,,1.0,,18.0,27.0,5.0,5.0,1.0,,,1.0,,,,,
72,,4.65,Jean Carlos Vicente,4,286,J. Carlos,Juventude,Jean Carlos,8.23,0.8,70958,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,True,jean-carlos,11,7,-1.15,18,2.0,,4.0,,,1.0,,6.0,7.0,3.0,7.0,4.0,1.0,,,,,,,
