,atletas.variacao_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.apelido,atletas.slug,atletas.pontos_num,atletas.media_num,atletas.status_id,atletas.clube_id,atletas.preco_num,atletas.posicao_id,atletas.atleta_id,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.foto,atletas.rodada_id,atletas.nome,CA,DS,FC,FD,FF,FS,SG,A,FT,G,V,CV,I,PC,DE,GS,PP,PS,DP,GC
53,0.0,Grêmio,12,Fábio,fabio,0.0,2.79,6,284,5.0,2,70172,Fábio,,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,30,Fábio Pereira da Silva,1.0,7.0,5.0,,2.0,14.0,4.0,,1.0,,,1.0,,1.0,,,,,,
54,-0.34,Criciúma,23,Gustavo,gustavo,5.0,3.39,7,288,6.0,1,70216,Gustavo,,True,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,30,Luiz Gustavo de Almeida Pinto,2.0,,1.0,,,1.0,4.0,,,,,1.0,,,81.0,32.0,,,2.0,
55,0.0,Vitória,6,Bruno Uvini,bruno-uvini,0.0,0.48,6,287,2.22,3,70221,B. Uvini,,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,30,Bruno Uvini Bortolança,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,,
56,0.31,Grêmio,7,Diego Costa,diego-costa,2.7,1.78,3,284,5.1,5,70316,D. Costa,,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,30,Diego da Silva Costa,2.0,4.0,4.0,3.0,,5.0,,,,1.0,,1.0,2.0,,,,,,,
57,-0.38,Grêmio,19,Marchesín,marchesin,4.0,4.25,7,284,6.61,1,70332,Marchesín,,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,30,Agustín Federico Marchesín,3.0,1.0,,,,3.0,7.0,,,,,,,,66.0,20.0,,,,
58,0.0,Bragantino,17,Eduardo Sasha,eduardo-sasha,0.0,4.08,6,280,7.73,5,70360,E. Sasha,,False,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,30,Eduardo Colcenti Antunes,6.0,6.0,15.0,14.0,12.0,21.0,,3.0,,3.0,,1.0,3.0,,,,,,,
59,0.0,Juventude,22,Gabriel,gabriel,0.0,2.58,6,286,4.04,1,70449,Gabriel,,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,30,Gabriel Vasconcelos Ferreira,4.0,,1.0,,,4.0,4.0,,,,,1.0,,1.0,73.0,30.0,,,,
60,0.71,Palmeiras,13,Felipe Anderson,felipe-anderson,9.5,5.54,7,275,10.05,4,70592,F. Anderson,,True,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,30,Felipe Anderson Pereira Gomes,,28.0,7.0,2.0,7.0,7.0,,2.0,1.0,2.0,,,1.0,,,,,,,
61,-0.17,Cuiabá,22,Marllon,marllon,5.5,2.9,7,1371,4.73,3,70666,Marllon,,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,30,Marllon Gonçalves Jerônimo Borges,2.0,23.0,13.0,2.0,6.0,8.0,4.0,,1.0,1.0,,,,1.0,,,,1.0,,
62,-0.36,Internacional,12,Enner Valencia,enner-valencia,0.0,1.57,6,285,8.41,5,70788,E. Valencia,,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,30,Enner Remberto Valencia Lastra,1.0,4.0,6.0,4.0,4.0,12.0,,,1.0,,,,2.0,,,,,,,
63,0.54,Fluminense,17,Diogo Barbosa,diogo-barbosa,5.2,2.3,7,266,4.01,2,70916,D. Barbosa,,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,30,Diogo Barbosa Mendanha,6.0,14.0,13.0,,1.0,13.0,5.0,,,,,,,,,,,,,
64,0.43,Internacional,25,Bruno Henrique,bruno-henrique,5.2,2.74,7,285,5.82,4,70944,B. Henrique,,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,30,Bruno Henrique Corsini,3.0,28.0,41.0,7.0,12.0,17.0,,1.0,1.0,2.0,,,1.0,,,,,,,
65,-0.52,Juventude,16,Jean Carlos,jean-carlos,-1.6,3.3,6,286,6.92,4,70958,J. Carlos,,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,30,Jean Carlos Vicente,3.0,7.0,13.0,4.0,9.0,5.0,,1.0,,4.0,,,1.0,,,,,,,
66,-1.14,Vasco,15,Payet,payet,0.5,3.25,7,267,5.72,4,70984,Payet,,True,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,30,Florent Dimitri Payet,,10.0,8.0,2.0,5.0,14.0,,3.0,1.0,1.0,,,2.0,,,,,,,
67,0.0,Atlético-GO,9,Pedro Henrique,pedro-henrique,0.0,3.02,6,373,4.73,3,71038,P. Henrique,,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,30,Pedro Henrique Pereira da Silva,3.0,11.0,8.0,2.0,,4.0,3.0,,,,,,,,,,,,,
68,-0.36,Vasco,26,Maicon,maicon,0.0,2.45,7,267,3.94,3,71227,Maicon,,True,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,30,Maicon Pereira Roque,4.0,23.0,11.0,1.0,1.0,7.0,6.0,,,1.0,,,1.0,,,,,,,
69,-0.12,São Paulo,21,Luiz Gustavo,luiz-gustavo,0.6,2.36,7,276,4.45,4,71536,L. Gustavo,,True,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,30,Luiz Gustavo Dias,3.0,27.0,27.0,8.0,8.0,19.0,,,1.0,,,,,,,,,,,
70,-1.19,Palmeiras,29,Weverton,weverton,0.5,5.43,7,275,10.05,1,71631,Weverton,,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,30,Weverton Pereira da Silva,2.0,1.0,,,,7.0,14.0,1.0,,,,,,,101.0,21.0,,,,
71,0.36,Vitória,15,Raúl Cáceres,raul-caceres,5.6,3.8,7,287,6.07,2,71680,R. Cáceres,,True,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,30,Raúl Alejandro Cáceres Bogado,,24.0,15.0,,1.0,4.0,5.0,1.0,,,,,1.0,,,,,,,
72,-1.27,Palmeiras,20,Gustavo Gómez,gustavo-gomez,1.1,4.22,7,275,8.36,3,71684,G. Gómez,,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,30,Gustavo Raúl Gómez Portillo,7.0,22.0,33.0,1.0,10.0,15.0,9.0,2.0,,1.0,,,7.0,1.0,,,,,,1.0
73,0.0,Bahia,17,Santiago Arias,santiago-arias,0.0,3.88,6,265,6.09,2,71701,S. Arias,,False,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,30,Santiago Arias Naranjo,2.0,20.0,21.0,2.0,5.0,17.0,7.0,1.0,,,,1.0,4.0,1.0,,,,,,
74,0.0,Fluminense,5,Gabriel Pires,gabriel-pires,0.0,3.48,6,266,5.14,4,71898,G. Pires,,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,30,Gabriel Appelt Pires,1.0,13.0,8.0,1.0,2.0,5.0,,,,,,,1.0,,,,,,,
75,0.34,Atlético-MG,18,Everson,everson,-1.0,1.98,7,282,6.74,1,72294,Everson,,True,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,30,Everson Felipe Marques Pires,5.0,,1.0,,,4.0,5.0,,,,,1.0,,,40.0,23.0,,,,
76,0.0,Fluminense,0,Felipe Alves,felipe-alves,0.0,0.0,6,266,5.0,1,72372,F. Alves,,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,30,Felipe Alves Raymundo,,,,,,,,,,,,,,,,,,,,
77,-0.14,Cruzeiro,13,Fernando Diniz,fernando-diniz,3.56,3.58,7,283,8.52,6,72391,F. Diniz,,True,https://s.sde.globo.com/media/person_role/2024/09/23/photo_FORMATO_oIP1uaU.png,30,Fernando Diniz Silva,,,,,,,,,,,1.0,,,,,,,,,
78,0.0,Atlético-MG,10,Bernard,bernard,0.0,1.07,5,282,5.86,4,72460,Bernard,,False,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_hLeY8f6.png,30,Bernard Anício Caldeira Duarte,1.0,7.0,14.0,,2.0,6.0,,,1.0,,,,1.0,,,,,,,
79,-1.53,Botafogo,5,Alex Telles,alex-telles,0.0,3.96,7,263,7.03,2,72493,A. Telles,,True,https://s.sde.globo.com/media/person_role/2024/09/03/photo_FORMATO_Dy4LFfE.png,30,Alex Nicolao Telles,,2.0,3.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,
80,-0.85,Atlético-GO,3,Gustavo Campanharo,gustavo-campanharo,-0.6,0.47,6,373,3.66,4,72497,G. Campanharo,,True,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,30,Gustavo Campanharo,,1.0,2.0,,1.0,,,,,,,,,,,,,,,
81,0.0,Atlético-GO,19,Maguinho,maguinho,0.0,2.4,6,373,4.43,2,72532,Maguinho,,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,30,Magno José da Silva,2.0,20.0,20.0,3.0,6.0,11.0,3.0,1.0,,,,1.0,2.0,2.0,,,,1.0,,
82,0.0,Corinthians,10,Pedro Henrique,pedro-henrique,0.0,2.56,6,264,4.69,5,72583,P. Henrique,,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,30,Pedro Henrique Konzen Medina da Silva,2.0,4.0,6.0,2.0,7.0,8.0,,1.0,,1.0,,,4.0,,,,,,,
