,atletas.status_id,atletas.posicao_id,atletas.pontos_num,atletas.atleta_id,atletas.variacao_num,atletas.apelido,atletas.preco_num,atletas.apelido_abreviado,atletas.nome,atletas.slug,atletas.jogos_num,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.clube_id,atletas.media_num,atletas.rodada_id,atletas.foto,CA,DS,FC,FF,FS,I,SG,A,G,DE,GS,V,FD,FT,CV,PC,PS,DP,PP,GC
83,7,3,0.0,72605,0.0,Vitor Hugo,3.58,V. Hugo,Vitor Hugo Franchescoli de Souza,vitor-hugo,1,Bahia,,False,265,0.0,32,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,,,,,,,,,,,,,,,,,,,,
84,6,4,2.0,72775,0.15,Fernandinho,6.42,Fernandinho,Fernando Luiz Rosa,fernandinho,20,Athlético-PR,,True,293,3.13,32,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,6.0,18.0,29.0,5.0,20.0,1.0,,3.0,2.0,,,,9.0,,,,,,,
85,6,3,0.0,72801,0.0,Wilker Ángel,2.78,W. Ángel,Wílker José Ángel Romero,wilker-angel,10,Criciúma,,False,288,1.86,32,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_i1tcVtm.png,2.0,7.0,17.0,,4.0,1.0,1.0,,1.0,,,,2.0,,,,,,,
86,5,3,0.0,72951,0.0,Mercado,4.98,Mercado,Gabriel Iván Mercado,mercado,14,Internacional,,False,285,3.15,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_o74D2pK.png,5.0,9.0,7.0,1.0,3.0,,6.0,,1.0,,,,,,,,,,,
87,6,2,0.0,73384,0.0,Samuel Xavier,6.2,S. Xavier,Samuel Xavier Brito,samuel-xavier,23,Fluminense,,False,266,4.32,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_yDwEEkd.png,4.0,27.0,27.0,5.0,41.0,2.0,8.0,2.0,,,,,4.0,,,,,,,
88,7,3,5.0,73620,0.34,Bruno Alves,5.06,B. Alves,Bruno Fabiano Alves,bruno-alves,21,Cuiabá,,True,1371,3.35,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_k3QDtbn.png,1.0,19.0,13.0,4.0,15.0,,6.0,,1.0,,,,3.0,,,,,,,
89,6,3,0.0,73800,0.0,Rodrigo Caio,5.98,R. Caio,Rodrigo Caio Coquette Russo,rodrigo-caio,2,Grêmio,,False,284,2.2,32,https://s.sde.globo.com/media/person_role/2024/06/03/photo_FORMATO_F2HtPRp.png,,3.0,,1.0,2.0,,,,,,,,,,,1.0,,,,
90,6,3,0.0,73991,0.0,Walisson Maia,3.17,W. Maia,Walisson Moreira Farias Maia,walisson-maia,12,Criciúma,,False,288,1.49,32,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_o2efsws.png,2.0,5.0,9.0,2.0,2.0,,2.0,1.0,,,,,,,,1.0,,,,
91,6,1,0.0,74061,0.0,Gatito Fernández,6.82,G. Fernández,Roberto Junior Fernández Torres,gatito-fernandez,3,Botafogo,,False,263,2.0,32,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_XgarVDI.png,1.0,,,,,,1.0,,,6.0,4.0,,,,,,,,,
92,6,5,0.0,74157,0.0,Campbell,8.07,Campbell,Joel Nathaniel Campbell Samuels,campbell,7,Atlético-GO,,False,373,4.22,32,https://s.sde.globo.com/media/person_role/2024/07/17/photo_FORMATO_WdH8RPs.png,3.0,7.0,2.0,5.0,7.0,,,,2.0,,,,1.0,,,,,,,
93,7,4,-0.3,77485,-0.59,Carrillo,5.66,Carrillo,André Martín Carrillo Díaz,carrillo,7,Corinthians,,True,264,2.93,32,https://s.sde.globo.com/media/person_role/2024/09/10/photo_FORMATO_tEHEHYn.png,1.0,13.0,7.0,1.0,2.0,,,1.0,,,,,1.0,,,,,,,
94,5,4,0.0,77544,0.0,Jorginho,5.5,Jorginho,Jorge de Moura Xavier,jorginho,2,Atlético-GO,,False,373,3.95,32,https://s.sde.globo.com/media/person_role/2023/05/14/photo_FORMATO_BSixVEC.png,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,
95,6,2,0.0,78077,0.0,Madson,4.64,Madson,Madson Ferreira dos Santos,madson,18,Athlético-PR,,False,293,2.19,32,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_QT62TtG.png,3.0,6.0,6.0,2.0,11.0,1.0,5.0,1.0,,,,,,,,,,,,
96,7,5,0.8,78117,-0.47,Everaldo,6.97,Everaldo,Everaldo Stum,everaldo,30,Bahia,,True,265,4.6,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_ZTjMF4T.png,4.0,16.0,27.0,16.0,28.0,5.0,,2.0,8.0,,,,18.0,3.0,,,,,,
97,7,3,5.0,78248,0.45,Gustavo Henrique,5.52,G. Henrique,Gustavo Henrique Vernes,gustavo-henrique,13,Corinthians,,True,264,1.38,32,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_eaP6jN7.png,4.0,5.0,11.0,5.0,4.0,,3.0,,,,,,1.0,,1.0,,,,,
98,6,2,0.0,78445,0.0,Renê,8.77,Renê,Renê Rodrigues Martins,rene,13,Internacional,,False,285,5.21,32,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PNCSDK4.png,2.0,24.0,11.0,4.0,15.0,,5.0,1.0,,,,,3.0,,,,,,,
99,7,6,2.69,78450,-0.15,Cláudio Tencati,6.26,C. Tencati,Cláudio Tencati,claudio-tencati,28,Criciúma,,True,288,4.26,32,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_54lwaii.png,,,,,,,,,,,,7.0,,,,,,,,
100,6,4,0.0,78548,0.0,Jean Mota,3.28,J. Mota,Jean Mota Oliveira de Sousa,jean-mota,15,Vitória,,False,287,1.29,32,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_hp4AXuX.png,,3.0,7.0,2.0,6.0,1.0,,,1.0,,,,2.0,1.0,,,,,,
101,7,5,1.3,78580,-0.01,Jonathan Cafu,3.35,J. Cafu,Jonathan Renato Barbosa,jonathan-cafu,20,Cuiabá,,True,1371,1.77,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_EstVL0K.png,,11.0,13.0,5.0,19.0,2.0,,,1.0,,,,4.0,,,,,,,
102,6,4,0.0,78605,0.0,Gabriel,5.6,Gabriel,Gabriel Girotto Franco,gabriel,14,Athlético-PR,,False,293,3.72,32,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_SpOJ3BZ.png,3.0,33.0,16.0,7.0,11.0,,,,1.0,,,,1.0,,,,,,,
103,6,4,0.0,78715,0.0,Ramiro,3.89,Ramiro,Ramiro Moschen Benetti,ramiro,21,Cruzeiro,,False,283,1.76,32,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_MK4CCfT.png,2.0,23.0,21.0,4.0,11.0,1.0,,,1.0,,,,1.0,,,,,,,
104,6,2,0.0,78850,0.0,Reinaldo,8.42,Reinaldo,Reinaldo Manoel da Silva,reinaldo,20,Grêmio,,False,284,4.91,32,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_v8J7R5r.png,2.0,17.0,14.0,9.0,16.0,1.0,6.0,1.0,2.0,,,,15.0,,,,,,,
105,6,3,0.0,78855,0.0,Thiago Santos,4.03,T. Santos,Thiago dos Santos,thiago-santos,20,Fluminense,,False,266,3.57,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_L3ovhxb.png,8.0,25.0,21.0,3.0,19.0,,8.0,,,,,,4.0,,,1.0,,,,
106,7,3,6.0,79035,0.48,Luiz Felipe,4.44,L. Felipe,Luiz Felipe do Nascimento dos Santos,luiz-felipe,15,Atlético-GO,,True,373,2.9,32,https://s.sde.globo.com/media/person_role/2023/08/16/photo_FORMATO_vnMYw4d.png,4.0,18.0,18.0,5.0,2.0,,4.0,,1.0,,,,1.0,,1.0,1.0,1.0,,,
107,6,3,0.0,79113,0.0,Víctor Cuesta,3.48,V. Cuesta,Víctor Leandro Cuesta,victor-cuesta,6,Bahia,,False,265,1.08,32,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO.png,3.0,7.0,7.0,1.0,5.0,1.0,,,,,,,,,,,,,,
108,7,4,1.4,79268,0.19,Filipe Augusto,1.39,F. Augusto,Filipe Augusto Carvalho Souza,filipe-augusto,13,Cuiabá,,True,1371,0.34,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_AseAsft.png,5.0,8.0,14.0,1.0,4.0,,,,,,,,1.0,,,,,,,
109,6,6,9.21,79437,0.38,Roger Machado,8.25,R. Machado,Roger Machado Marques,roger-machado,28,Internacional,,True,285,5.43,32,https://s.sde.globo.com/media/person_role/2021/04/27/ec1e7e490c3a05088fd967b9e2468216_FORMATO.png,,,,,,,,,,,,12.0,,,,,,,,
110,6,5,0.0,79631,0.0,Cano,6.62,Cano,Germán Ezequiel Cano,cano,18,Fluminense,,False,266,2.01,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_uSA2481.png,3.0,4.0,6.0,11.0,5.0,1.0,,,1.0,,,,14.0,1.0,1.0,,,,,
111,6,4,0.0,79701,-0.07,Lucas Silva,3.42,L. Silva,Lucas Silva Borges,lucas-silva,24,Cruzeiro,,True,283,0.98,32,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_KnivRCo.png,3.0,8.0,16.0,7.0,15.0,,,,1.0,,,,4.0,,,1.0,,,,1.0
112,6,3,0.0,79702,0.0,Antônio Carlos,2.84,A. Carlos,Antônio Carlos Cunha Capocasali Júnior,antonio-carlos,13,Fluminense,,False,266,1.72,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Cwpf6R7.png,1.0,6.0,10.0,4.0,12.0,1.0,2.0,,,,,,,,,,,,,
113,6,4,2.2,80129,-0.25,Jadson,8.19,Jadson,Jadson Alves dos Santos,jadson,24,Juventude,,True,286,4.59,32,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_1INRw87.png,10.0,50.0,30.0,9.0,48.0,2.0,,5.0,1.0,,,,4.0,1.0,1.0,,,,,
114,7,4,0.0,80196,-0.37,Yago Pikachu,4.54,Y. Pikachu,Glaybson Yago Souza Lisboa,yago-pikachu,26,Fortaleza,,True,356,3.01,32,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QAL0UhA.png,5.0,18.0,10.0,12.0,34.0,3.0,,4.0,2.0,,,,3.0,,,1.0,,,,
115,6,5,0.0,80225,0.0,Rafa Silva,5.02,R. Silva,Rafael da Silva,rafa-silva,9,Cruzeiro,,False,283,3.22,32,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_UXvdhXA.png,2.0,4.0,7.0,1.0,4.0,3.0,,,3.0,,,,4.0,,1.0,,,,,
116,7,5,8.5,80287,0.61,Luciano,10.71,Luciano,Luciano da Rocha Neves,luciano,26,São Paulo,,True,276,5.81,32,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hqCxZF4.png,10.0,19.0,27.0,25.0,33.0,5.0,,3.0,9.0,,,,14.0,4.0,1.0,,1.0,,1.0,
117,6,2,0.0,80313,0.0,Gilberto,7.03,Gilberto,Gilberto Moraes Júnior,gilberto,13,Bahia,,False,265,3.85,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_iy1T2ej.png,1.0,19.0,10.0,5.0,14.0,1.0,2.0,,1.0,,,,2.0,,,,,,,
118,6,5,0.0,80337,0.0,Arthur Caíke,3.85,A. Caíke,Arthur Caíke do Nascimento Cruz,arthur-caike,24,Criciúma,,False,288,2.54,32,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO.png,3.0,4.0,19.0,16.0,22.0,13.0,,,4.0,,,,6.0,1.0,,,,,,
119,6,3,0.0,80853,0.0,Pedro Geromel,5.37,P. Geromel,Pedro Tonon Geromel,pedro-geromel,9,Grêmio,,False,284,2.59,32,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_6dWdAJP.png,3.0,5.0,2.0,4.0,3.0,,3.0,,,,,,1.0,,,,,,,
120,6,4,0.0,81091,0.0,Jair,3.78,Jair,Jair Rodrigues Júnior,jair,1,Vasco,,False,267,0.5,32,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,,,,,1.0,,,,,,,,,,,,,,,
121,6,2,0.0,81150,0.0,Mayke,7.52,Mayke,Mayke Rocha de Oliveira,mayke,19,Palmeiras,,False,275,4.2,32,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pz3GebS.png,5.0,26.0,15.0,1.0,9.0,2.0,9.0,,1.0,,,,,,,,,,,
122,6,5,0.0,81798,0.0,Rossi,4.06,Rossi,Rosicley Pereira da Silva,rossi,11,Vasco,,False,267,1.66,32,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8UqKNri.png,3.0,12.0,9.0,1.0,8.0,2.0,,1.0,,,,,,,,,,,,
123,6,4,0.0,81845,0.0,Alisson,6.88,Alisson,Alisson Euler de Freitas Castro,alisson,16,São Paulo,,False,276,3.59,32,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_fS2GyF1.png,4.0,25.0,21.0,2.0,27.0,,,2.0,1.0,,,,4.0,,,,,,,
124,7,1,10.5,81881,0.94,João Ricardo,8.93,J. Ricardo,João Ricardo Riedi,joao-ricardo,30,Fortaleza,,True,356,4.87,32,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_yXqoxi8.png,2.0,1.0,,,5.0,,10.0,,,123.0,29.0,,,,,,,,,
125,3,4,2.3,81952,-0.11,Willian Oliveira,7.2,W. Oliveira,Willian Osmar de Oliveira Silva,willian-oliveira,29,Vitória,,True,287,4.3,32,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_AuUF822.png,6.0,47.0,34.0,14.0,33.0,,,1.0,5.0,,,,8.0,,,,2.0,,,
126,6,5,0.0,81965,0.0,Cavaleiro,3.24,Cavaleiro,Ivan Ricardo Neves Abreu Cavaleiro,cavaleiro,4,Bragantino,,False,280,0.85,32,https://s.sde.globo.com/media/person_role/2015/08/18/87400d05b54fad3fbdebe823f0d1160b_220x220.png,1.0,1.0,2.0,2.0,2.0,,,,,,,,1.0,,,,,,,
127,6,4,0.0,82455,0.0,Zé Rafael,4.52,Z. Rafael,José Rafael Vivian,ze-rafael,16,Palmeiras,,False,275,1.64,32,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_BAUllGq.png,6.0,16.0,28.0,3.0,17.0,,,2.0,,,,,2.0,,1.0,,1.0,,,
128,6,4,1.2,82463,-0.27,Otávio,5.08,Otávio,Otávio Henrique Passos Santos,otavio,19,Atlético-MG,,True,282,2.81,32,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,2.0,39.0,21.0,7.0,14.0,,,,,,,,2.0,,,,,,,
129,5,5,0.0,82627,0.0,Luiz Araújo,8.3,L. Araújo,Luiz de Araújo Guimarães Neto,luiz-araujo,23,Flamengo,,False,262,5.54,32,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_HkAAcVs.png,3.0,35.0,23.0,17.0,30.0,2.0,,5.0,3.0,,,,13.0,1.0,,,,,,
130,6,2,10.0,82628,1.63,Tinga,6.15,Tinga,Guilherme de Jesus da Silva,tinga,24,Fortaleza,,True,356,3.57,32,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_vAKLb1d.png,1.0,27.0,14.0,4.0,7.0,,8.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,
131,7,2,6.5,82639,0.75,Marcelo Hermes,5.8,M. Hermes,Marcelo Gazella Hermes,marcelo-hermes,26,Criciúma,,True,288,3.29,32,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_g9yt731.png,4.0,31.0,23.0,9.0,14.0,1.0,4.0,2.0,1.0,,,,6.0,,,,,,,
132,6,4,14.2,82766,1.95,Wellington Rato,7.57,W. Rato,Wellington Soares da Silva,wellington-rato,22,São Paulo,,True,276,2.66,32,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_NhIGhAv.png,1.0,7.0,8.0,8.0,17.0,3.0,,5.0,1.0,,,,5.0,,,,,,,
133,6,5,0.0,83257,0.0,Gabriel,7.28,Gabriel,Gabriel Barbosa Almeida,gabriel,16,Flamengo,,False,262,2.75,32,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_EM6z7aN.png,2.0,3.0,1.0,6.0,5.0,10.0,,1.0,3.0,,,,6.0,,,,,,,
134,6,3,5.0,83528,0.5,Léo Pereira,5.82,L. Pereira,Leonardo Pereira,leo-pereira,25,Flamengo,,True,262,2.0,32,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_rrGsWJ1.png,6.0,19.0,14.0,4.0,12.0,1.0,6.0,,,,,,,,,2.0,,,,
135,7,3,-0.3,83786,-1.58,Neris,4.23,Neris,Hueglo dos Santos Neris,neris,18,Vitória,,True,287,2.88,32,https://s.sde.globo.com/media/person_role/2024/08/23/photo_FORMATO_NM0hbTO.png,2.0,18.0,20.0,1.0,3.0,1.0,6.0,,1.0,,,,1.0,,1.0,,,,,
136,7,5,0.0,83817,0.0,Clayson,3.93,Clayson,Clayson Henrique da Silva Vieira,clayson,23,Cuiabá,,False,1371,2.34,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_eqdux0f.png,6.0,10.0,13.0,9.0,23.0,4.0,,,3.0,,,,7.0,,,,1.0,,,
137,6,5,1.7,84042,-0.26,Tiquinho Soares,9.01,T. Soares,Francisco das Chagas Soares dos Santos Meireles,tiquinho-soares,24,Botafogo,,True,263,3.67,32,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_pjwDNV1.png,4.0,11.0,34.0,13.0,34.0,3.0,,3.0,5.0,,,,6.0,,,,,,,
138,6,3,0.0,84263,0.0,Jemerson,5.27,Jemerson,Jemerson de Jesus Nascimento,jemerson,9,Grêmio,,False,284,3.3,32,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO_PHlhzVS.png,4.0,5.0,11.0,2.0,5.0,1.0,4.0,,1.0,,,,,,,1.0,,,,
139,7,1,1.0,84266,-0.17,Alisson,2.12,Alisson,Alisson Machado dos Santos,alisson,5,Criciúma,,True,288,0.9,32,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Ea5KMU8.png,2.0,,,,1.0,,,,,11.0,5.0,,,,,,,,,
140,3,4,1.1,84428,-0.51,Fernando Sobral,4.97,F. Sobral,Fernando Pereira do Nascimento,fernando-sobral,25,Cuiabá,,True,1371,2.94,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_dW9VacB.png,5.0,38.0,19.0,11.0,27.0,1.0,,1.0,1.0,,,,3.0,,,,,,,
141,7,4,2.2,84558,0.19,Lucas Romero,4.92,L. Romero,Lucas Daniel Romero,lucas-romero,27,Cruzeiro,,True,283,2.71,32,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pUYQrUf.png,4.0,51.0,36.0,7.0,21.0,,,2.0,,,,,3.0,,1.0,,,,,
142,6,4,0.2,84587,-0.22,Fellipe Mateus,6.43,F. Mateus,Fellipe Mateus de Sena Araújo,fellipe-mateus,23,Criciúma,,True,288,3.78,32,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_3jr11fx.png,2.0,23.0,18.0,10.0,44.0,2.0,,,3.0,,,,9.0,1.0,,1.0,,,,
143,7,4,1.1,84674,-0.25,Lucas Evangelista,7.0,L. Evangelista,Lucas Evangelista Santana de Oliveira,lucas-evangelista,23,Bragantino,,True,280,3.31,32,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_gMVR2lN.png,3.0,20.0,24.0,12.0,40.0,4.0,,1.0,2.0,,,,5.0,2.0,,,,,,
144,6,2,9.4,84816,0.7,Varela,6.77,Varela,Guillermo Varela Olivera,varela,13,Flamengo,,True,262,4.32,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RMaWUM3.png,,18.0,7.0,1.0,17.0,1.0,5.0,,,,,,2.0,,,,,,,
145,6,5,1.2,84918,-0.32,Rafael Ratão,4.23,R. Ratão,Rafael Rogério da Silva,rafael-ratao,17,Bahia,,True,265,2.11,32,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_q8xm0Ax.png,,6.0,9.0,4.0,5.0,1.0,,2.0,1.0,,,,4.0,1.0,,,,,,
146,7,1,-2.0,85004,-0.59,Marcos Felipe,6.26,M. Felipe,Marcos Felipe de Freitas Monteiro,marcos-felipe,30,Bahia,,True,265,3.77,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JDJmU6R.png,2.0,1.0,1.0,,5.0,,9.0,,,97.0,37.0,,,,,,,1.0,,
147,6,4,0.0,85034,0.0,Óscar Romero,6.97,Ã. Romero,Óscar David Romero Villamayor,oscar-romero,18,Botafogo,,False,263,3.53,32,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oSZD8nT.png,5.0,21.0,12.0,3.0,14.0,,,4.0,1.0,,,,8.0,,,,,,,
148,7,5,0.7,85048,-1.73,Memphis Depay,10.06,M. Depay,Memphis Depay,memphis-depay,6,Corinthians,,True,264,4.97,32,https://s.sde.globo.com/media/person_role/2024/09/17/photo_FORMATO_bZqek6n.png,2.0,2.0,3.0,2.0,11.0,2.0,,1.0,2.0,,,,2.0,,,,,,,
149,6,4,0.9,85465,-0.11,Alex Santana,3.26,A. Santana,Alex Paulo Menezes Santana,alex-santana,10,Corinthians,,True,264,1.44,32,https://s.sde.globo.com/media/person_role/2024/07/15/photo_FORMATO_QlEJyTM.png,4.0,10.0,12.0,6.0,8.0,,,,,,,,1.0,,,,,,,
150,7,3,-0.3,85626,0.03,Léo,3.66,Léo,Leonardo Pinheiro da Conceição,leo,23,Vasco,,True,267,2.38,32,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_EPoR3bv.png,2.0,23.0,16.0,2.0,10.0,1.0,5.0,,,,,,2.0,,,,,,,
151,7,4,2.1,85856,-0.17,Ricardo Ryller,4.41,R. Ryller,Ricardo Ryller Ribeiro Lino Silva,ricardo-ryller,13,Vitória,,True,287,2.49,32,https://s.sde.globo.com/media/person_role/2024/07/02/photo_220x220.png,,17.0,10.0,5.0,12.0,,,1.0,,,,,,,,,,,,
152,6,4,0.0,85931,0.0,Hyoran,3.83,Hyoran,Hyoran Kaue Dalmoro,hyoran,10,Internacional,,False,285,1.38,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7KxaYiF.png,,5.0,6.0,5.0,9.0,1.0,,,,,,,1.0,,,,,,,
153,6,4,3.6,85993,0.12,Gustavo Sauer,4.14,G. Sauer,Gustavo Affonso Sauerbeck,gustavo-sauer,8,Cuiabá,,True,1371,1.94,32,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_zFut1NF.png,,8.0,4.0,1.0,8.0,1.0,,,,,,,2.0,,,,,,,
154,7,5,2.5,86292,-0.16,Bolasie,7.51,Bolasie,Yannick Bolasie,bolasie,25,Criciúma,,True,288,5.05,32,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_r97hBeS.png,3.0,14.0,31.0,23.0,19.0,10.0,,4.0,6.0,,,,20.0,1.0,,,,,,
155,6,5,0.0,86362,0.0,Caio Dantas,3.0,C. Dantas,Caio Henrique da Silva Dantas,caio-dantas,0,Vitória,,False,287,0.0,32,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_YkGHL6O.png,,,,,,,,,,,,,,,,,,,,
156,6,2,0.0,86410,0.0,Victor Luis,6.57,V. Luis,Victor Luis Chuab Zamblauskas,victor-luis,9,Vasco,,False,267,4.67,32,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_C2XW4GI.png,3.0,14.0,10.0,,10.0,,3.0,1.0,1.0,,,,1.0,,1.0,,,,,
157,6,5,0.0,86485,0.0,Keno,5.26,Keno,Marcos da Silva França,keno,20,Fluminense,,False,266,2.43,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_EdYl0O3.png,3.0,18.0,13.0,11.0,21.0,4.0,,,1.0,,,,6.0,,,,,,,
158,6,1,0.0,86508,0.0,Jandrei,5.73,Jandrei,Jandrei Chitolina Carniel,jandrei,12,São Paulo,,False,276,3.75,32,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_FD4URNn.png,,,,,8.0,,4.0,,,35.0,14.0,,,,,,,,,
159,7,3,0.9,86684,-0.49,Rodrigo,5.03,Rodrigo,Rodrigo Fagundes de Freitas,rodrigo,24,Criciúma,,True,288,3.63,32,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_fIUc997.png,6.0,41.0,25.0,3.0,10.0,2.0,4.0,1.0,2.0,,,,2.0,1.0,,2.0,,,,
160,6,4,0.0,86686,0.0,Tchê Tchê,2.98,T. Tchê,Danilo das Neves Pinheiro,tche-tche,26,Botafogo,,False,263,0.95,32,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DbXXPxM.png,2.0,13.0,14.0,6.0,15.0,,,,,,,,5.0,,1.0,,,,,
161,6,2,4.2,86713,0.46,Jonathan,3.65,Jonathan,Jonathan Francisco Lemos,jonathan,14,Criciúma,,True,288,1.93,32,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_9loGKby.png,2.0,19.0,9.0,1.0,4.0,,1.0,,,,,,1.0,,,,,,,
162,5,5,0.0,86757,0.0,Everton,6.98,Everton,Everton Sousa Soares,everton,10,Flamengo,,False,262,4.72,32,https://s.sde.globo.com/media/person_role/2024/04/08/photo_FORMATO_JoKRQsF.png,1.0,11.0,6.0,8.0,6.0,2.0,,2.0,1.0,,,,8.0,,,,,,,
163,7,4,0.2,86766,-0.22,Matheus Rossetto,2.9,M. Rossetto,Matheus Rossetto,matheus-rossetto,16,Fortaleza,,True,356,1.77,32,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_zgLfj3l.png,2.0,24.0,12.0,1.0,9.0,,,,,,,,,,,,,,,
164,6,4,0.0,86777,0.0,Danilo Barbosa,6.25,D. Barbosa,Danilo Barbosa da Silva,danilo-barbosa,24,Botafogo,,False,263,3.34,32,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_p79ATUg.png,4.0,35.0,18.0,5.0,15.0,,,2.0,3.0,,,,1.0,,,,1.0,,,
165,6,4,-0.3,86859,-0.32,José Welison,3.61,J. Welison,José Welison da Silva,jose-welison,18,Fortaleza,,True,356,1.66,32,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QbOqp5G.png,1.0,23.0,10.0,3.0,4.0,,,1.0,,,,,,,1.0,,,,,
166,7,1,-1.0,87008,-0.67,Léo Jardim,5.83,L. Jardim,Leonardo César Jardim,leo-jardim,31,Vasco,,True,267,3.35,32,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_goyzWhz.png,,,,,1.0,,6.0,,,119.0,46.0,,,,,,,,,
167,6,4,0.0,87009,0.0,Nathan,3.42,Nathan,Nathan Allan de Souza,nathan,8,Grêmio,,False,284,1.3,32,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_UqG87oy.png,1.0,5.0,3.0,2.0,5.0,2.0,,,,,,,2.0,,,,,,,
