,atletas.status_id,atletas.posicao_id,atletas.pontos_num,atletas.atleta_id,atletas.variacao_num,atletas.apelido,atletas.preco_num,atletas.apelido_abreviado,atletas.nome,atletas.slug,atletas.jogos_num,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.clube_id,atletas.media_num,atletas.rodada_id,atletas.foto,CA,DS,FC,FF,FS,I,SG,A,G,DE,GS,V,FD,FT,CV,PC,PS,DP,PP,GC
40,6,4,0.0,68991,0.0,Lucas Sasha,6.5,L. Sasha,Lucas Pacheco Affini,lucas-sasha,18,Fortaleza,,False,356,3.57,32,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,2.0,53.0,33.0,1.0,19.0,,,,,,,,2.0,,,,,,,
41,6,1,0.0,69012,0.0,Santos,8.0,Santos,Aderbar Melo dos Santos Neto,santos,0,Fortaleza,,False,356,0.0,32,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,,,,,,,,,,,,,,,,,,,,
42,6,3,0.0,69014,0.0,Manoel,3.51,Manoel,Manoel Messias Silva Carvalho,manoel,10,Fluminense,,False,266,1.55,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,2.0,6.0,8.0,,3.0,,2.0,,,,,,1.0,,,,,,,
43,6,1,0.0,69041,0.0,Muriel,5.94,Muriel,Muriel Gustavo Becker,muriel,1,Vitória,,False,287,6.5,32,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,2.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,
44,6,1,0.0,69051,0.0,Danilo Fernandes,3.54,D. Fernandes,Danilo Fernandes Batista,danilo-fernandes,0,Bahia,,False,265,-1.0,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,1.0,,,,,,,,,,,,,,,,,,,
45,6,5,1.8,69102,-1.31,Vargas,6.17,Vargas,Eduardo Jesús Vargas Rojas,vargas,19,Atlético-MG,,True,282,4.81,32,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,1.0,8.0,7.0,7.0,20.0,6.0,,1.0,7.0,,,,5.0,,,,3.0,,,
46,7,5,4.3,69138,-1.46,Pablo,5.91,Pablo,Pablo Felipe Teixeira,pablo,22,Athlético-PR,,True,293,2.59,32,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,5.0,9.0,22.0,15.0,9.0,6.0,,2.0,3.0,,,,4.0,1.0,,,,,,
47,6,4,0.9,69140,-0.03,Allan,5.06,Allan,Allan Marques Loureiro,allan,10,Botafogo,,True,263,1.79,32,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,2.0,12.0,10.0,,7.0,,,1.0,,,,,,,,,,,,
48,6,3,0.0,69165,0.0,Pablo,3.22,Pablo,Pablo Nascimento Castro,pablo,1,Botafogo,,False,263,0.0,32,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,,,,,,,,,,,,,,,,,,,,
49,6,4,3.2,69705,-1.36,Nikão,8.99,Nikão,Maycon Vinícius Ferreira da Cruz,nikao,19,Athlético-PR,,True,293,5.64,32,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,,20.0,6.0,15.0,32.0,2.0,,2.0,4.0,,,,10.0,1.0,,,,,,
50,7,4,10.2,70164,0.36,Lucas Moura,14.43,L. Moura,Lucas Rodrigues Moura da Silva,lucas-moura,23,São Paulo,,True,276,7.11,32,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,3.0,32.0,22.0,8.0,51.0,,,4.0,9.0,,,,9.0,,,,,,,
51,5,2,0.0,70171,0.0,Rafael,3.0,Rafael,Rafael Pereira da Silva,rafael,0,Botafogo,,False,263,0.0,32,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,,,,,,,,,,,,,,,,,,,,
52,6,2,0.0,70172,0.0,Fábio,5.0,Fábio,Fábio Pereira da Silva,fabio,12,Grêmio,,False,284,2.79,32,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,1.0,7.0,5.0,2.0,14.0,,4.0,,,,,,,1.0,1.0,1.0,,,,
53,6,1,4.5,70216,0.38,Gustavo,5.88,Gustavo,Luiz Gustavo de Almeida Pinto,gustavo,25,Criciúma,,True,288,3.34,32,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,2.0,,1.0,,2.0,,4.0,,,88.0,34.0,,,,1.0,,,2.0,,
